    @RELATION ant-1.3-SM.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.0750552,1,4,2,0.0445434,0.0695652,20,16,1,5,5,49,2,10,11,4,19,1,0.436274,178,165,10,0,0.436274,178,0,0,0,0,0,230,449,9,4,9,4,15,0,9,1,15,124,0,9,1,230,449,9,4,9,4,15,0,9,1,15,124,0,9,1,true
    0,0,0,0,0,0,0,0,0,0,0,11,3,16,28,3,14,0.75,0.463158,44,44,9,3,0.463158,44,0,0,0,0,0,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,false
    0,0,0,0,0,0,0,0,1,1,1,16,1,183,279,1,15,0.866667,0.470588,56,56,13,2,0.470588,56,0,0,0,0,0,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,false
    0,0,0,0,0,0,0,0,0,0,0,7,1,14,7,0,7,1,0.830189,44,44,8,0,0.830189,44,0,0,7,10,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,4,1,0.857143,36,36,5,0,0.857143,36,1,1,1,2,1,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.714286,5,5,1,0,0.714286,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,false
    0.220238,1,5,1,0.122302,0.189189,17,14,4,4,4,23,5,4,5,7,19,0.5,0.362069,42,39,6,6,0.362069,42,2,2,1,1,1,74,139,7,0,7,0,12,0,11,4,12,30,0,11,4,74,139,7,0,7,0,12,0,11,4,12,30,0,11,4,true
    0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,1,1,0.512195,21,10,2,0,0.512195,21,0,0,0,0,0,20,44,0,0,0,0,1,0,1,0,1,11,0,1,0,20,44,0,0,0,0,1,0,1,0,1,11,0,1,0,false
    0.58235,10,95,16,0.362864,0.550847,299,260,1,5,5,136,2,37,38,1,23,1,0.411471,330,283,15,0,0.411471,330,1,1,3,3,1,472,824,11,7,11,7,22,0,14,4,22,353,0,14,4,472,824,11,7,11,7,22,0,14,4,22,353,0,14,4,false
    0,0,0,0,0,0,0,0,0,0,0,13,0,4,6,0,13,1,0.846939,83,83,14,0,0.846939,83,0,0,1,4,0,15,94,0,7,0,7,13,0,13,4,13,0,0,13,4,15,94,0,7,0,7,13,0,13,4,13,0,0,13,4,false
    0.118207,2,16,5,0.110865,0.146417,50,47,1,14,3,71,8,5,11,4,16,1,0.251634,77,63,10,0,0.193467,77,0,0,0,0,0,229,343,7,6,7,6,12,0,9,1,12,116,0,9,1,321,451,7,6,7,6,30,0,27,1,30,142,0,27,1,true
    0,0,0,0,0,0,0,0,1,2,2,6,0,9,4,0,4,1,0.369565,17,17,4,0,0.369565,17,0,0,0,0,0,29,52,4,0,4,0,4,1,3,0,4,13,1,3,0,29,52,4,0,4,0,4,1,3,0,4,13,1,3,0,false
    0.0150418,1,3,1,0.0204461,0.0302198,11,11,1,15,3,82,7,0,0,18,31,1,0.251029,122,84,2,0,0.251029,122,0,0,0,0,0,364,538,12,1,12,1,13,1,1,0,13,254,1,1,0,364,538,12,1,12,1,13,1,1,0,13,254,1,1,0,true
    0,0,0,0,0,0,0,0,1,1,1,7,3,0,0,5,8,0.25,0.192308,5,5,1,3,0.192308,5,3,3,0,0,1,21,28,8,0,1,0,3,0,3,0,15,8,0,14,4,21,28,8,0,1,0,3,0,3,0,15,8,0,14,4,false
    0,0,0,0,0,0,0,0,1,2,2,11,0,2,2,0,3,0.25,0.403226,25,20,1,3,0.403226,25,0,0,0,0,0,37,60,3,0,3,0,3,0,3,0,3,16,0,3,0,37,60,3,0,3,0,3,0,3,0,3,16,0,3,0,false
    0.0639269,1,12,2,0.0523763,0.0647887,54,46,4,4,4,164,7,180,208,26,95,0.375,0.213732,193,159,21,35,0.213732,193,0,0,0,0,0,710,1031,27,14,27,14,69,11,55,9,69,406,11,55,9,710,1031,27,14,27,14,69,11,55,9,69,406,11,55,9,true
    0.0382641,1,6,2,0.0335366,0.0463158,22,22,3,4,3,37,6,16,16,14,23,0.833333,0.209424,40,30,5,1,0.156306,88,0,0,0,0,0,151,249,6,1,6,1,9,0,5,0,9,85,0,5,0,475,656,16,1,16,1,40,0,30,1,65,267,0,50,1,true
    0,0,0,0,0,0,0,0,1,1,1,12,3,4,8,2,11,1,0.407895,31,31,8,0,0.407895,31,0,0,0,0,0,45,80,4,2,4,2,9,0,7,2,9,18,0,7,2,45,80,4,2,4,2,9,0,7,2,9,18,0,7,2,true
    0,0,0,0,0,0,0,0,3,5,5,32,5,14,18,9,27,0.125,0.0884956,10,10,2,14,0.0884956,10,0,0,0,0,0,103,128,7,5,7,5,18,0,15,6,18,42,0,15,6,103,128,7,5,7,5,18,0,15,6,18,42,0,15,6,true
    0,0,0,0,0,0,0,0,3,1,1,20,5,132,183,3,21,0.9375,0.561644,82,82,15,1,0.561644,82,0,0,55,99,0,64,161,7,6,7,6,18,0,15,7,18,19,0,15,7,64,161,7,6,7,6,18,0,15,7,18,19,0,15,7,false
    0,0,0,0,0,0,0,0,1,2,2,5,3,4,5,3,6,0.75,0.324324,12,12,3,1,0.324324,12,1,1,0,0,1,25,37,8,7,1,1,3,0,3,1,21,13,0,18,8,25,37,8,7,1,1,3,0,3,1,21,13,0,18,8,false
    0,0,0,0,0,0,0,0,1,1,1,11,7,3,2,17,23,0.5,0.205128,16,12,3,3,0.205128,16,1,1,0,0,1,62,86,10,7,3,1,6,0,5,0,24,33,0,20,7,62,86,10,7,3,1,6,0,5,0,24,33,0,20,7,true
    0,0,0,0,0,0,0,0,1,2,2,24,9,0,0,13,22,0.222222,0.0714286,10,10,2,7,0.0714286,10,1,1,0,0,1,130,164,21,1,21,1,9,0,8,0,9,73,0,8,0,130,164,21,1,21,1,9,0,8,0,9,73,0,8,0,false
    0,0,0,0,0,0,0,0,1,3,3,30,8,2,3,35,44,0.25,0.163522,26,22,2,6,0.163522,26,1,1,0,0,1,133,167,13,6,6,0,9,0,7,4,27,87,0,22,11,133,167,13,6,6,0,9,0,7,4,27,87,0,22,11,false
    0,0,0,0,0,0,0,0,1,8,6,39,7,0,0,10,16,0.666667,0.0725389,14,8,2,1,0.0725389,14,1,1,0,0,1,179,221,10,6,3,0,6,0,2,1,24,134,0,17,8,179,221,11,6,4,0,6,1,2,1,24,134,1,17,8,false
    0,0,0,0,0,0,0,0,1,3,3,32,6,0,0,9,21,0.1,0.0648148,7,5,1,9,0.0648148,7,1,1,0,0,1,101,122,14,6,7,0,12,0,9,7,30,46,0,24,14,101,122,14,6,7,0,12,0,9,7,30,46,0,24,14,false
    0,0,0,0,0,0,0,0,1,1,1,5,5,0,0,14,18,0.2,0.44898,22,22,1,4,0.44898,22,1,1,0,0,1,27,33,9,6,2,0,4,0,4,1,22,13,0,19,8,27,33,9,6,2,0,4,0,4,1,22,13,0,19,8,false
    0,0,0,0,0,0,0,0,3,1,1,19,8,0,0,18,32,0.538462,0.371134,36,35,7,6,0.371134,36,3,3,0,0,1,61,106,22,10,2,0,14,0,12,8,60,23,0,42,25,61,106,22,10,2,0,14,0,12,8,60,23,0,42,25,false
    0,0,0,0,0,0,0,0,2,1,1,5,6,0,0,6,9,1,0.446809,21,18,4,0,0.446809,21,3,3,0,0,1,26,46,27,23,1,0,3,0,3,0,73,17,0,67,30,26,46,27,23,1,0,3,0,3,0,73,17,0,67,30,false
    0.0696279,1,4,1,0.040678,0.0634921,12,12,1,4,4,55,10,2,1,16,32,1,0.294776,79,69,13,0,0.294776,79,1,1,1,1,1,189,295,20,6,13,0,16,0,12,9,34,100,0,27,16,189,295,20,6,13,0,16,0,12,9,34,100,0,27,16,false
    0.179012,1,5,1,0.206522,0.192308,19,15,1,3,3,19,5,0,0,6,13,0.142857,0.0823529,7,7,1,6,0.0823529,7,2,2,0,0,1,78,92,15,7,6,0,7,0,6,5,36,38,0,31,17,78,92,15,7,6,0,7,0,6,5,36,38,0,31,17,false
    0.376623,1,5,1,0.333333,0.325581,18,14,1,2,2,12,3,0,0,5,10,0.166667,0.14,7,7,1,5,0.14,7,1,1,0,0,1,43,54,11,6,4,0,5,0,5,4,23,18,0,20,11,43,54,11,6,4,0,5,0,5,4,23,18,0,20,11,false
    0.326489,4,20,5,0.229508,0.344262,42,42,1,3,3,33,10,0,0,17,28,0.0833333,0.232704,37,31,1,11,0.232704,37,1,1,0,0,1,122,183,16,6,9,0,11,0,11,10,29,61,0,26,17,122,183,16,6,9,0,11,0,11,10,29,61,0,26,17,false
    0,0,0,0,0,0,0,0,1,4,4,55,8,0,0,16,33,1,0.395349,102,91,16,0,0.395349,102,2,2,0,0,1,156,269,16,7,7,0,17,0,15,10,46,92,0,40,22,156,269,16,7,7,0,17,0,15,10,46,92,0,40,22,false
    0,0,0,0,0,0,0,0,1,3,3,12,2,0,0,3,6,0.333333,0.258065,16,7,1,2,0.258065,16,1,1,0,0,1,46,65,8,6,1,0,3,0,2,1,21,26,0,17,8,46,65,8,6,1,0,3,0,2,1,21,26,0,17,8,false
    0,0,0,0,0,0,0,0,1,4,4,14,6,0,0,5,11,1,0.428571,39,37,7,0,0.40625,39,1,1,0,0,1,52,93,11,6,4,0,6,0,6,4,24,24,0,21,11,57,98,12,8,4,1,7,0,7,4,29,25,0,26,12,false
    0,0,0,0,0,0,0,0,1,4,4,24,4,1,1,7,16,0.142857,0.17094,20,9,1,6,0.141935,22,1,1,0,0,1,97,135,14,6,7,0,9,0,6,5,27,55,0,21,12,133,175,19,6,12,0,12,0,9,5,30,70,0,24,12,false
    0,0,0,0,0,0,0,0,1,3,3,38,12,7,9,22,40,1,0.346734,69,63,12,0,0.346734,69,1,1,1,3,1,130,211,16,6,9,0,18,0,11,8,36,65,0,26,15,130,211,16,6,9,0,18,0,11,8,36,65,0,26,15,false
    0,0,0,0,0,0,0,0,2,4,3,49,14,19,21,21,40,0.933333,0.369775,115,91,14,1,0.362132,197,0,0,0,0,0,196,375,12,5,12,5,19,1,14,6,19,110,1,14,6,347,591,15,5,15,5,32,1,23,6,50,174,1,38,6,true
    0,0,0,0,0,0,0,0,1,2,2,15,7,1,1,9,14,0.333333,0.146667,11,9,2,4,0.146667,11,0,0,0,0,0,64,80,4,0,4,0,5,0,5,4,5,35,0,5,4,64,80,4,0,4,0,5,0,5,4,5,35,0,5,4,false
    0.198502,1,6,2,0.134078,0.20339,24,24,1,6,6,26,11,2,5,16,26,1,0.261438,40,39,5,0,0.271605,44,2,2,2,2,1,113,174,20,10,4,4,10,0,4,2,46,71,0,30,17,118,179,21,12,4,5,11,0,5,2,51,72,0,35,18,false
    0,0,0,0,0,0,0,0,0,0,0,5,0,9,2,0,5,1,0.8,28,28,6,0,0.8,28,0,0,3,11,0,7,34,0,0,0,0,5,0,5,3,5,0,0,5,3,7,34,0,0,0,0,5,0,5,3,5,0,0,5,3,false
    0,0,0,0,0,0,0,0,1,3,3,18,1,4,8,1,9,1,0.485507,67,58,8,0,0.485507,67,0,0,0,0,0,71,136,5,0,5,0,8,0,7,0,8,35,0,7,0,71,136,5,0,5,0,8,0,7,0,8,35,0,7,0,false
    0,0,0,0,0,0,0,0,1,1,1,4,2,0,0,1,3,0.333333,0.315789,6,6,1,2,0.315789,6,1,1,0,0,1,13,15,8,6,1,0,2,0,2,1,20,4,0,17,8,13,15,8,6,1,0,2,0,2,1,20,4,0,17,8,false
    0.212534,1,3,1,0.153846,0.175,18,14,1,5,5,17,6,0,0,17,21,1,0.259259,28,23,4,0,0.259259,28,2,2,0,0,1,80,117,11,7,2,0,4,0,3,2,33,50,0,28,14,80,117,11,7,2,0,4,0,3,2,33,50,0,28,14,false
    0,0,0,0,0,0,0,0,1,3,3,17,3,0,0,5,10,0.2,0.135593,8,8,1,4,0.135593,8,1,1,0,0,1,51,62,10,6,3,0,5,0,4,3,23,27,0,19,10,51,62,10,6,3,0,5,0,4,3,23,27,0,19,10,false
    0.127729,1,9,3,0.113402,0.165746,33,30,1,5,5,63,7,0,0,7,15,1,0.395189,115,79,9,0,0.394649,118,2,2,0,0,1,176,286,15,7,6,0,8,0,8,6,37,132,0,33,18,181,291,16,9,6,1,9,0,9,6,42,133,0,38,19,true
    0.123239,2,10,2,0.162162,0.1875,12,12,1,4,4,17,3,0,0,4,7,0.25,0.0985916,7,7,1,3,0.0985916,7,1,1,0,0,1,64,74,9,6,2,0,3,0,3,2,21,36,0,18,9,64,74,9,6,2,0,3,0,3,2,21,36,0,18,9,false
