    @RELATION ant-1.4-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.087146,2,10,4,0.0547645,0.0860656,50,42,10,4,4,114,6,16,21,7,43,0.68,0.385135,285,259,17,8,0.404878,332,1,1,0,0,1,455,837,15,6,15,6,36,0,24,2,36,225,0,24,2,488,913,18,6,18,6,40,0,26,2,40,239,0,26,2,false
    0,0,0,0,0,0,0,0,0,0,0,11,4,13,39,3,14,0.75,0.463158,44,44,9,3,0.463158,44,0,0,0,0,0,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,false
    0,0,0,0,0,0,0,0,1,1,1,16,1,255,408,1,15,0.866667,0.470588,56,56,13,2,0.470588,56,0,0,0,0,0,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,false
    0,0,0,0,0,0,0,0,0,0,0,7,1,13,7,0,7,1,0.830189,44,44,8,0,0.830189,44,0,0,9,12,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,4,1,0.857143,36,36,5,0,0.857143,36,1,1,2,3,1,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.714286,5,5,1,0,0.714286,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,false
    0.196809,1,5,1,0.113333,0.164706,17,14,4,4,4,26,6,4,5,7,19,0.5,0.330709,42,39,6,6,0.330709,42,2,2,1,1,1,85,150,7,0,7,0,12,0,11,4,12,34,0,11,4,85,150,7,0,7,0,12,0,11,4,12,34,0,11,4,true
    0,0,0,0,0,0,0,0,1,2,2,13,1,1,1,1,8,1,0.358025,29,29,5,0,0.358025,29,0,0,0,0,0,52,84,5,1,5,1,7,0,4,0,7,25,0,4,0,52,84,5,1,5,1,7,0,4,0,7,25,0,4,0,false
    0,0,0,0,0,0,0,0,1,1,1,11,0,0,0,0,1,1,0.45283,24,10,2,0,0.45283,24,0,0,0,0,0,29,59,0,0,0,0,1,0,1,0,1,17,0,1,0,29,59,0,0,0,0,1,0,1,0,1,17,0,1,0,false
    0.505705,8,85,14,0.31872,0.466531,269,230,1,5,5,141,2,46,46,1,23,1,0.400972,330,283,15,0,0.400972,330,1,1,3,3,1,493,844,11,7,11,7,22,0,14,4,22,361,0,14,4,493,844,11,7,11,7,22,0,14,4,22,361,0,14,4,false
