    @RELATION ant-1.6-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.0784698,2,10,4,0.0415309,0.0786106,51,43,9,5,4,135,8,24,22,14,60,1,0.507648,531,482,32,0,0.513778,578,1,1,1,1,1,515,1153,14,7,14,7,46,0,31,6,46,257,0,31,6,547,1228,17,7,17,7,50,0,33,6,50,271,0,33,6,true
    0,0,0,0,0,0,0,0,1,3,3,64,4,8,30,7,25,1,0.335347,111,106,16,0,0.335347,111,0,0,2,2,0,220,346,6,5,6,5,18,0,15,6,18,111,0,15,6,220,346,6,5,6,5,18,0,15,6,18,111,0,15,6,false
    0,0,0,0,0,0,0,0,0,0,0,11,4,25,55,3,14,1,0.694611,116,116,12,0,0.694611,116,0,0,0,0,0,51,171,6,6,6,6,11,0,11,2,11,21,0,11,2,51,171,6,6,6,6,11,0,11,2,11,21,0,11,2,false
    0,0,0,0,0,0,0,0,1,1,1,17,1,491,778,1,16,1,0.616279,106,106,16,0,0.616279,106,0,0,1,1,0,66,184,2,3,2,3,15,0,15,1,15,28,0,15,1,66,184,2,3,2,3,15,0,15,1,15,28,0,15,1,false
    0,0,0,0,0,0,0,0,0,0,0,7,1,23,14,0,7,1,0.883117,68,68,8,0,0.883117,68,0,0,18,25,0,9,75,0,0,0,0,7,0,7,0,7,0,0,7,0,9,75,0,0,0,0,7,0,7,0,7,0,0,7,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,4,1,0.87234,41,41,5,0,0.87234,41,1,1,4,7,1,6,42,0,0,0,0,4,0,4,4,11,0,0,11,4,6,42,0,0,0,0,4,0,4,4,11,0,0,11,4,false
    0.0504386,2,10,3,0.0435866,0.0678337,35,31,2,3,3,91,15,9,19,41,74,1,0.422535,300,282,24,0,0.399474,304,0,0,0,0,0,410,747,11,9,11,9,33,0,23,2,33,244,0,23,2,457,803,12,12,12,12,41,0,31,2,41,268,0,31,2,true
    0,0,0,0,0,0,0,0,4,5,5,30,8,7,8,9,24,1,0.498008,125,122,13,0,0.498008,125,2,2,3,3,1,126,271,7,0,7,0,15,1,12,4,15,63,1,12,4,126,271,7,0,7,0,15,1,12,4,15,63,1,12,4,true
    0,0,0,0,0,0,0,0,1,1,1,4,1,1,1,1,4,1,0.578947,22,22,4,0,0.578947,22,0,0,0,0,0,16,35,1,0,1,0,3,0,3,0,3,6,0,3,0,16,35,1,0,1,0,3,0,3,0,3,6,0,3,0,false
    0,0,0,0,0,0,0,0,1,2,2,25,2,2,2,2,12,1,0.484043,91,85,6,0,0.502463,102,0,0,0,0,0,97,204,7,1,7,1,10,0,5,0,10,56,0,5,0,101,216,9,1,9,1,10,0,5,0,10,56,0,5,0,false
