    @RELATION ivy-1.4-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,1,1,18,4,2,2,15,25,0.0909091,0.0754717,4,4,1,10,0.0754717,4,2,2,2,2,1,49,60,0,14,0,6,10,0,10,0,18,20,0,18,0,49,60,0,14,0,6,10,0,10,0,18,20,0,18,0,false
    0,0,0,0,0,0,0,0,0,0,0,8,3,53,51,0,8,0.555556,0.666667,20,20,5,4,0.666667,20,1,1,2,4,1,10,27,0,14,0,8,8,0,8,0,14,0,0,14,0,10,27,0,14,0,8,8,0,8,0,14,0,0,14,0,false
    0,0,0,0,0,0,0,0,1,1,1,12,1,12,18,2,10,0.666667,0.3125,20,20,6,3,0.3125,20,0,0,0,0,0,44,67,4,4,4,4,8,0,8,0,8,18,0,8,0,44,67,4,4,4,4,8,0,8,0,8,18,0,8,0,false
    0,0,0,0,0,0,0,0,0,0,0,2,0,19,5,0,2,0,0,0,0,0,3,0,0,0,0,6,7,0,4,4,0,2,0,2,2,0,2,0,2,0,0,2,0,4,4,0,2,0,2,2,0,2,0,2,0,0,2,0,false
    0,0,0,0,0,0,0,0,1,0,0,3,0,10,11,0,3,0.25,0.263158,5,5,1,3,0.263158,5,0,0,0,0,0,14,14,2,1,2,1,3,0,3,0,3,4,0,3,0,14,14,2,1,2,1,3,0,3,0,3,4,0,3,0,false
    0,0,0,0,0,0,0,0,1,1,1,16,4,5,8,15,28,0.214286,0.128571,9,9,3,11,0.128571,9,2,2,0,0,1,61,82,8,12,2,6,13,0,13,0,23,28,0,20,3,61,82,8,12,2,6,13,0,13,0,23,28,0,20,3,false
    0,0,0,0,0,0,0,0,1,4,2,27,3,11,32,3,16,0.692308,0.272,34,34,9,4,0.234483,34,3,3,0,0,1,91,137,11,10,5,4,13,0,12,0,28,48,0,24,6,111,157,14,11,8,5,16,2,14,0,31,55,2,26,6,false
    0,0,0,0,0,0,0,0,0,0,0,2,1,11,3,0,2,0.333333,0.666667,8,8,1,2,0.666667,8,0,0,1,6,0,4,12,0,1,0,1,2,0,2,0,2,0,0,2,0,4,12,0,1,0,1,2,0,2,0,2,0,0,2,0,false
    0.123636,1,4,1,0.120482,0.142857,10,10,1,1,1,21,5,17,31,14,30,0.0588235,0.0540541,4,4,1,16,0.0540541,4,3,3,0,0,1,70,83,3,14,3,8,16,0,16,0,26,28,0,26,0,70,83,3,14,3,8,16,0,16,0,26,28,0,26,0,false
    0.124542,1,4,1,0.0909091,0.120482,10,10,1,1,1,23,5,4,6,10,25,0.125,0.117021,11,11,2,14,0.117021,11,1,1,0,0,1,83,110,6,8,6,8,15,0,15,0,15,36,0,15,0,83,110,6,8,6,8,15,0,15,0,15,36,0,15,0,false
