    @RELATION jedit-4.1-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.0266312,1,12,2,0.0390625,0.0486618,20,20,1,6,6,94,0,3,36,0,27,0.181818,0.0426966,19,15,4,18,0.0426966,19,0,0,0,0,0,426,512,17,8,17,8,27,2,21,0,27,208,2,21,0,426,512,17,8,17,8,27,2,21,0,27,208,2,21,0,false
    0,0,0,0,0,0,0,0,1,2,2,20,15,1,1,21,29,0.5,0.130769,17,5,1,1,0.130769,17,2,2,0,0,1,113,145,6,4,0,0,8,0,1,0,27,49,0,20,1,113,145,6,4,0,0,8,0,1,0,27,49,0,20,1,false
    0,0,0,0,0,0,0,0,2,0,0,7,8,8,9,7,14,0.142857,0.108108,4,4,1,6,0.108108,4,2,2,0,0,1,33,44,7,5,1,1,7,1,6,0,26,7,1,25,1,33,44,7,5,1,1,7,1,6,0,26,7,1,25,1,false
    0,0,0,0,0,0,0,0,0,1,1,3,4,5,5,4,6,0,0.0769231,1,0,0,2,0.0769231,1,2,2,0,0,1,12,15,6,5,0,1,2,0,1,0,21,7,0,20,1,12,15,6,5,0,1,2,0,1,0,21,7,0,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,12,7,2,3,9,13,0.5,0.267442,23,19,2,2,0.267442,23,2,2,0,0,1,63,94,9,4,3,0,4,2,3,0,23,32,2,22,1,63,94,9,4,3,0,4,2,3,0,23,32,2,22,1,false
    0,0,0,0,0,0,0,0,2,3,3,12,6,3,3,10,14,0.333333,0.182927,15,7,1,2,0.182927,15,2,2,0,0,1,67,92,6,4,0,0,4,0,2,0,23,35,0,21,1,67,92,6,4,0,0,4,0,2,0,23,35,0,21,1,false
    0.233333,1,12,2,0.175439,0.195122,20,16,1,3,2,41,9,1,1,10,13,0,0.0666667,6,0,0,2,0.0666667,6,2,3,0,0,2,84,114,127,4,1,0,3,1,1,0,22,38,121,20,1,84,114,127,4,1,0,3,1,1,0,22,38,121,20,1,false
    0,0,0,0,0,0,0,0,1,4,3,40,10,1,11,11,15,0.5,0.468354,74,11,1,1,0.468354,74,2,3,0,0,2,84,174,127,4,1,0,4,1,1,0,23,44,121,20,1,84,174,127,4,1,0,4,1,1,0,23,44,121,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,7,8,5,4,7,10,0.333333,0.296296,16,10,1,2,0.296296,16,2,2,0,0,1,38,62,6,4,0,0,3,0,2,0,22,20,0,21,1,38,62,6,4,0,0,3,0,2,0,22,20,0,21,1,false
    0,0,0,0,0,0,0,0,1,8,2,29,12,3,3,21,27,0.714286,0.333333,49,30,5,2,0.333333,49,2,2,0,0,1,98,160,6,4,0,0,6,0,6,0,25,62,0,25,1,98,160,6,4,0,0,6,0,6,0,25,62,0,25,1,false
    0,0,0,0,0,0,0,0,1,4,4,17,10,1,1,8,10,0.5,0.33,33,3,1,1,0.33,33,2,3,0,0,2,67,113,134,4,8,0,2,3,1,0,21,38,123,20,1,67,113,134,4,8,0,2,3,1,0,21,38,123,20,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,7,9,7,4,1,0,1,1,1,0,20,1,1,20,1,7,9,7,4,1,0,1,1,1,0,20,1,1,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,3,3,4,6,1,0.333333,8,8,2,0,0.333333,8,2,2,0,0,1,16,23,9,4,3,0,2,3,1,0,21,5,3,20,1,16,23,9,4,3,0,2,3,1,0,21,5,3,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,3,2,4,6,1,0.352941,12,12,2,0,0.352941,12,2,2,0,0,1,22,37,9,4,3,0,2,0,1,0,21,12,0,20,1,22,37,9,4,3,0,2,0,1,0,21,12,0,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,9,6,4,4,6,9,0,0,0,0,0,3,0,0,2,2,0,0,1,35,40,6,4,0,0,3,0,2,0,22,17,0,21,1,35,40,6,4,0,0,3,0,2,0,22,17,0,21,1,false
    0,0,0,0,0,0,0,0,1,2,2,4,8,1,1,7,9,0,0,0,0,0,2,0,0,2,2,0,0,1,22,26,8,4,2,0,2,2,1,0,21,9,2,20,1,22,26,8,4,2,0,2,2,1,0,21,9,2,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,5,7,3,3,7,9,0,0.390244,16,0,0,2,0.390244,16,2,2,0,0,1,25,45,6,4,0,0,2,0,1,0,21,14,0,20,1,25,45,6,4,0,0,2,0,1,0,21,14,0,20,1,false
    0.240816,1,7,1,0.257426,0.282051,26,22,1,2,2,16,12,2,2,15,20,0,0.111111,10,5,0,2,0.111111,10,2,2,0,0,1,80,101,13,4,7,0,5,6,1,0,24,28,6,20,1,80,101,13,4,7,0,5,6,1,0,24,28,6,20,1,false
    0,0,0,0,0,0,0,0,1,5,5,21,6,1,1,3,8,0,0.047619,4,0,0,3,0.047619,4,2,2,0,0,1,80,103,7,5,1,1,5,1,2,0,24,42,1,21,1,80,103,7,5,1,1,5,1,2,0,24,42,1,21,1,false
    0,0,0,0,0,0,0,0,1,4,4,9,9,2,1,8,11,0.666667,0.379747,30,16,2,1,0.379747,30,2,2,0,0,1,49,79,10,4,4,0,3,0,2,0,22,20,0,21,1,49,79,10,4,4,0,3,0,2,0,22,20,0,21,1,false
    0,0,0,0,0,0,0,0,1,3,3,7,10,1,1,10,12,0.5,0.219512,9,4,1,1,0.219512,9,2,2,0,0,1,32,46,6,4,0,0,2,0,1,0,21,17,0,20,1,32,46,6,4,0,0,2,0,1,0,21,17,0,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,5,6,1,1,6,8,0.5,0.424242,14,7,1,1,0.424242,14,2,2,0,0,1,19,37,6,4,0,0,2,0,1,0,21,12,0,20,1,19,37,6,4,0,0,2,0,1,0,21,12,0,20,1,false
    0.12854,1,7,1,0.137566,0.174603,26,22,1,2,2,28,13,3,3,21,27,0.5,0.230769,39,17,1,1,0.230769,39,2,2,0,0,1,130,189,13,5,7,1,6,6,1,0,25,56,6,20,1,130,189,13,5,7,1,6,6,1,0,25,56,6,20,1,false
    0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,3,0,0,0,0,0,2,0,0,2,2,0,0,1,6,8,7,5,1,1,2,1,1,0,21,2,1,20,1,6,8,7,5,1,1,2,1,1,0,21,2,1,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,7,1,3,5,7,0,0,0,0,0,2,0,0,2,3,0,0,2,15,18,127,4,1,0,2,1,1,0,21,6,121,20,1,15,18,127,4,1,0,2,1,1,0,21,6,121,20,1,false
    0,0,0,0,0,0,0,0,0,1,1,3,5,2,2,3,5,0,0,0,0,0,2,0,0,2,2,0,0,1,12,14,7,5,1,1,2,1,1,0,21,4,1,20,1,12,14,7,5,1,1,2,1,1,0,21,4,1,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0,0,0,0,0,2,0,0,2,2,0,0,1,15,16,6,4,0,0,2,0,1,0,21,8,0,20,1,15,16,6,4,0,0,2,0,1,0,21,8,0,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,4,2,2,3,5,0,0.0769231,1,0,0,3,0.0769231,1,2,2,0,0,1,12,14,7,4,1,0,2,0,2,0,21,5,0,21,1,12,14,7,4,1,0,2,0,2,0,21,5,0,21,1,false
    0,0,0,0,0,0,0,0,1,4,4,14,8,1,1,6,8,0,0.184615,12,0,0,3,0.184615,12,2,3,0,0,2,53,73,126,4,0,0,2,0,2,0,21,29,120,21,1,53,73,126,4,0,0,2,0,2,0,21,29,120,21,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0.5,0.25,5,5,1,1,0.25,5,2,2,0,0,1,15,19,6,4,0,0,2,0,1,0,21,7,0,20,1,15,19,6,4,0,0,2,0,1,0,21,7,0,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,5,7,0,0.2,3,0,0,2,0.2,3,2,2,0,0,1,12,18,6,4,0,0,2,0,1,0,21,5,0,20,1,12,18,6,4,0,0,2,0,1,0,21,5,0,20,1,false
    0,0,0,0,0,0,0,0,1,4,4,16,12,1,1,15,17,0,0.285714,34,0,0,2,0.285714,34,2,2,0,0,1,85,136,6,4,0,0,2,0,1,0,21,58,0,20,1,85,136,6,4,0,0,2,0,1,0,21,58,0,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,10,7,8,8,6,12,0.666667,0.425,34,29,4,2,0.425,34,2,3,0,0,2,46,89,9,7,3,3,6,0,5,0,25,21,0,24,1,46,89,9,7,3,3,6,0,5,0,25,21,0,24,1,false
    0,0,0,0,0,0,0,0,1,5,3,13,9,1,1,10,13,0.5,0.394737,30,22,1,1,0.394737,30,2,2,0,0,1,46,86,7,4,1,0,3,1,1,0,22,25,1,20,1,46,86,7,4,1,0,3,1,1,0,22,25,1,20,1,false
    0.171521,1,5,1,0.130952,0.151515,11,10,1,5,3,22,9,1,5,16,21,0,0.0140845,1,0,0,2,0.0140845,1,2,3,0,0,2,70,84,128,4,2,0,5,2,1,0,24,43,122,20,1,70,84,128,4,2,0,5,2,1,0,24,43,122,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,5,7,2,2,7,9,1,0.510204,25,19,2,0,0.510204,25,2,2,0,0,1,24,50,7,4,1,0,2,1,1,0,21,8,1,20,1,24,50,7,4,1,0,2,1,1,0,21,8,1,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,12,8,1,2,5,7,0.5,0.113208,6,3,1,1,0.113208,6,2,3,0,0,2,47,60,127,4,1,0,2,1,1,0,21,26,121,20,1,47,60,127,4,1,0,2,1,1,0,21,26,121,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,10,4,3,3,8,16,0.857143,0.541667,39,39,6,1,0.541667,39,2,3,0,0,1,33,69,13,26,1,2,8,0,6,2,62,10,2,45,8,33,69,13,26,1,2,8,0,6,2,62,10,2,45,8,false
    0,0,0,0,0,0,0,0,1,3,3,38,3,7,10,0,24,0.695652,0.620939,172,157,16,7,0.613475,173,0,0,0,0,0,105,265,6,6,6,6,24,0,22,2,24,39,0,22,2,109,269,6,6,6,6,25,0,23,2,25,39,0,23,2,false
    0,0,0,0,0,0,0,0,1,3,3,19,11,10,8,12,18,0.6,0.35503,60,40,3,2,0.35503,60,0,0,0,0,0,109,175,3,2,3,2,6,0,4,0,6,44,0,4,0,109,175,3,2,3,2,6,0,4,0,6,44,0,4,0,false
    0,0,0,0,0,0,0,0,1,1,1,13,2,38,21,1,11,0.363636,0.411765,35,35,4,7,0.411765,35,0,0,0,0,0,50,72,1,0,1,0,10,0,10,0,10,27,0,10,0,50,72,1,0,1,0,10,0,10,0,10,27,0,10,0,false
    0,0,0,0,0,0,0,0,1,2,2,10,0,5,6,0,5,0.5,0.544118,37,29,3,3,0.545455,42,0,0,0,0,0,31,71,2,0,2,0,5,0,5,1,5,11,0,5,1,35,75,2,0,2,0,6,0,6,1,6,12,0,6,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,2,0,0,1,1,0,0,1,3,3,2,5,0,0,1,0,1,0,16,1,0,12,2,3,3,2,5,0,0,1,0,1,0,16,1,0,12,2,false
    0,0,0,0,0,0,0,0,2,2,2,10,0,1,1,0,4,0.6,0.280702,16,14,3,2,0.280702,16,0,0,0,0,0,41,59,4,0,4,0,4,0,4,0,4,22,0,4,0,41,59,4,0,4,0,4,0,4,0,4,22,0,4,0,false
    0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,6,0.142857,0.5,8,8,1,6,0.5,8,0,0,1,1,0,8,8,0,3,0,3,6,0,6,0,6,0,0,6,0,8,8,0,3,0,3,6,0,6,0,6,0,0,6,0,false
    0,0,0,0,0,0,0,0,1,1,1,22,1,53,71,3,18,0.416667,0.406504,50,47,5,7,0.406504,50,0,0,3,3,0,73,129,2,5,2,5,15,0,11,2,15,31,0,11,2,73,129,2,5,2,5,15,0,11,2,15,31,0,11,2,false
    0,0,0,0,0,0,0,0,1,5,5,141,19,45,34,50,104,0.717391,0.415873,393,329,33,13,0.414557,393,1,1,0,0,1,552,1006,17,10,17,10,54,5,45,9,54,287,5,45,9,555,1009,17,10,17,10,55,5,46,9,55,288,5,46,9,true
    0,0,0,0,0,0,0,0,0,0,0,1,0,17,35,0,1,0.5,0.3,3,3,1,1,0.3,3,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,7,7,0,0,0,0,1,0,1,0,1,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,2,2,17,1,2,59,4,16,0,0.230769,24,22,0,1,0.230769,24,0,0,0,0,0,80,119,5,0,5,0,12,0,0,0,12,43,0,0,0,80,119,5,0,5,0,12,0,0,0,12,43,0,0,0,false
    0,0,0,0,0,0,0,0,1,2,2,92,7,0,0,6,92,0.0352941,0.144509,25,21,3,82,0.144509,25,1,1,0,0,1,148,167,2,3,0,0,86,0,84,0,96,103,0,91,0,148,167,2,3,0,0,86,0,84,0,96,103,0,91,0,false
    0,0,0,0,0,0,0,0,2,5,3,31,9,8,10,10,18,0.25,0.110345,16,15,1,3,0.110345,16,1,1,0,0,1,129,151,131,1,11,1,8,0,3,0,8,62,120,3,0,129,151,131,1,11,1,8,0,3,0,8,62,120,3,0,false
    0,0,0,0,0,0,0,0,1,6,3,120,15,5,11,30,48,0.9,0.425101,315,183,9,1,0.418327,315,0,0,0,0,0,426,769,7,0,7,0,18,1,9,0,18,252,1,9,0,438,784,8,1,8,1,21,1,12,0,21,255,1,12,0,false
    0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0.333333,0.75,15,15,1,2,0.733333,22,0,0,1,2,0,5,6,0,1,0,1,2,0,2,0,2,0,0,2,0,8,16,0,1,0,1,3,0,3,0,3,0,0,3,0,false
    0,0,0,0,0,0,0,0,5,10,4,184,18,34,52,44,98,0.775,0.415622,431,304,31,9,0.406858,439,1,2,1,1,2,606,1149,12,24,12,24,54,2,39,6,54,351,2,39,6,640,1198,15,26,15,26,59,2,40,7,59,367,2,40,7,true
    0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,7,0.875,0.736842,28,28,7,1,0.736842,28,0,0,1,37,0,10,38,0,0,0,0,7,0,7,0,7,0,0,7,0,10,38,0,0,0,0,7,0,7,0,7,0,0,7,0,false
    0.47089,6,52,8,0.275424,0.444444,65,64,1,3,3,38,2,2,41,2,13,0.727273,0.378723,89,88,8,3,0.378723,89,1,1,0,0,1,146,236,8,10,6,5,11,3,10,1,26,97,3,21,3,146,236,8,10,6,5,11,3,10,1,26,97,3,21,3,false
    0.479603,75,2873,359,0.435501,0.471614,2954,2949,3,15,15,3460,48,1,3,65,478,0.159091,0.02114,135,93,14,74,0.0211201,135,1,2,0,0,2,6251,6777,184,2,26,2,413,4,87,1,413,5422,162,87,1,6257,6783,188,2,30,2,413,4,87,1,413,5422,162,87,1,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,12,12,0,246,250,120,0,120,0,0,120,0,0,0,0,120,0,0,246,250,120,0,120,0,0,120,0,0,0,0,120,0,0,false
    0.405384,35,605,91,0.403089,0.406122,809,796,1,13,6,692,4,1,9,11,60,0,0,0,0,0,7,0,0,1,1,0,0,1,2001,2007,144,1,24,1,49,2,6,0,49,1224,122,6,0,2001,2007,144,1,24,1,49,2,6,0,49,1224,122,6,0,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,79,81,38,0,38,0,0,38,0,0,0,0,38,0,0,79,81,38,0,38,0,0,38,0,0,0,0,38,0,0,false
    0.441055,15,510,61,0.501341,0.528376,374,270,1,8,3,224,5,36,38,3,46,0.137931,0.121061,73,52,4,25,0.119869,73,1,1,0,0,1,530,739,123,3,3,3,43,2,28,0,43,265,122,28,0,536,746,125,3,5,3,44,4,28,0,44,265,124,28,0,false
    0.0510367,1,8,2,0.031893,0.0403361,31,24,2,4,4,187,14,12,23,21,57,0.4,0.29186,251,151,6,9,0.29186,251,0,0,0,0,0,609,972,0,11,0,11,36,0,14,2,36,356,0,14,2,609,972,0,11,0,11,36,0,14,2,36,356,0,14,2,false
    0,0,0,0,0,0,0,0,0,0,0,2,0,7,10,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,2,0,2,0,2,2,0,2,0,5,5,0,0,0,0,2,0,2,0,2,2,0,2,0,false
