    @RELATION poi-3.0-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,2,4,3,15,9,20,25,8,11,1,0.267241,31,27,3,0,0.267241,31,1,1,1,1,1,85,115,2,0,2,0,3,0,2,0,3,37,0,2,0,85,115,2,0,2,0,3,0,2,0,3,37,0,2,0,true
    0,0,0,0,0,0,0,0,1,2,2,25,5,3,3,12,27,0.266667,0.232558,40,38,4,11,0.232558,40,2,2,0,0,1,132,188,5,11,3,5,15,0,14,5,32,65,0,31,5,132,188,5,11,3,5,15,0,14,5,32,65,0,31,5,true
    0.0698152,3,15,3,0.0611247,0.0930233,25,24,1,2,2,51,7,7,9,16,48,0.818182,0.299465,112,101,27,6,0.299465,112,1,1,0,0,1,262,409,25,21,23,16,32,10,32,13,48,104,10,46,16,262,409,25,21,23,16,32,10,32,13,48,104,10,46,16,true
    0.119891,1,2,1,0.101562,0.146341,13,12,1,1,1,11,6,3,2,11,21,0.363636,0.252252,28,28,4,7,0.252252,28,2,2,0,0,1,83,128,13,11,6,4,10,3,10,3,32,35,6,30,6,83,128,13,11,6,4,10,3,10,3,32,35,6,30,6,true
    0.192982,1,2,1,0.132653,0.218182,13,12,1,1,1,7,5,6,4,9,15,0.714286,0.356322,31,31,5,2,0.356322,31,1,1,2,2,1,56,98,7,7,5,2,6,3,6,0,22,21,3,20,3,56,98,7,7,5,2,6,3,6,0,22,21,3,20,3,true
    0.0477742,1,2,1,0.0327456,0.0517241,13,12,3,2,2,36,7,1,3,12,43,1,0.353591,128,128,32,0,0.353591,128,2,2,0,0,1,234,397,21,21,14,14,31,1,31,12,53,115,4,51,15,234,397,21,21,14,14,31,1,31,12,53,115,4,51,15,true
    0,0,0,0,0,0,0,0,1,0,0,3,1,8,12,1,4,1,0.636364,28,21,4,0,0.636364,28,2,2,0,0,1,16,39,2,5,0,0,3,0,3,0,19,3,0,19,0,16,39,2,5,0,0,3,0,3,0,19,3,0,19,0,true
    0.181058,1,1,1,0.0792683,0.123596,13,11,1,0,0,14,5,4,7,8,22,1,0.407895,62,62,15,0,0.407895,62,1,1,0,0,1,90,164,8,12,6,7,14,2,14,4,30,43,2,28,7,90,164,8,12,6,7,14,2,14,4,30,43,2,28,7,true
    0.0536649,1,2,1,0.0411392,0.0634921,13,12,1,1,1,35,5,7,8,9,35,1,0.351536,103,102,27,0,0.351536,103,1,1,0,0,1,190,316,15,18,13,13,26,2,26,10,42,85,2,40,13,190,316,15,18,13,13,26,2,26,10,42,85,2,40,13,true
    0.156489,1,2,1,0.111111,0.181818,13,12,1,1,1,11,5,11,6,8,16,1,0.390909,43,43,9,0,0.390909,43,1,1,0,0,1,67,117,5,9,3,4,8,2,8,1,24,28,2,22,4,67,117,5,9,3,4,8,2,8,1,24,28,2,22,4,true
