    @RELATION synapse-1.2-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,1,0.75,9,9,2,0,0.75,9,0,0,1,1,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,1,2,2,16,3,20,17,5,10,0.8,0.280488,23,22,4,1,0.280488,23,0,0,4,5,0,59,95,2,1,2,1,5,0,4,0,5,33,0,4,0,59,95,2,1,2,1,5,0,4,0,5,33,0,4,0,false
    0,0,0,0,0,0,0,0,0,0,0,2,1,15,10,0,2,1,0.777778,14,14,3,0,0.777778,14,0,0,12,23,0,4,16,0,0,0,0,2,0,2,0,2,0,0,2,0,4,16,0,0,0,0,2,0,2,0,2,0,0,2,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,100,63,0,4,1,0.8125,26,26,5,0,0.8125,26,0,0,2,43,0,6,31,0,2,0,2,4,0,4,1,4,0,0,4,1,6,31,0,2,0,2,4,0,4,1,4,0,0,4,1,false
    0,0,0,0,0,0,0,0,0,0,0,52,5,130,228,0,52,0.962264,0.816949,241,241,51,2,0.816949,241,0,0,4,4,0,54,340,0,23,0,23,52,0,52,21,52,0,0,52,21,54,340,0,23,0,23,52,0,52,21,52,0,0,52,21,false
    0,0,0,0,0,0,0,0,2,4,4,70,10,14,20,8,31,0.272727,0.16129,45,37,6,16,0.154639,45,0,0,0,0,0,234,323,12,10,12,10,23,0,21,7,23,112,0,21,7,246,337,12,10,12,10,24,0,22,7,24,118,0,22,7,true
    0,0,0,0,0,0,0,0,0,0,0,3,1,10,3,0,3,1,0.782609,18,18,4,0,0.782609,18,1,1,1,2,1,5,23,0,2,0,2,3,0,3,1,5,0,0,5,1,5,23,0,2,0,2,3,0,3,1,5,0,0,5,1,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,1,0.520619,101,101,1,0,0.520619,101,0,0,0,0,0,93,245,90,0,90,0,0,90,0,0,0,0,90,0,0,93,245,90,0,90,0,0,90,0,0,0,0,90,0,0,true
    0,0,0,0,0,0,0,0,0,0,0,3,0,94,135,0,3,0.25,0.2,3,3,1,3,0.2,3,0,0,0,0,0,12,17,1,0,1,0,3,0,3,0,3,3,0,3,0,12,17,1,0,1,0,3,0,3,0,3,3,0,3,0,true
    0,0,0,0,0,0,0,0,1,4,1,11,2,1,0,8,11,0.333333,0.145455,8,7,1,2,0.123077,8,0,0,0,0,0,47,56,2,0,2,0,3,0,2,0,3,32,0,2,0,57,66,2,0,2,0,4,0,3,0,4,38,0,3,0,true
    0,0,0,0,0,0,0,0,1,1,1,30,2,24,43,1,26,0.16,0.201613,25,25,4,21,0.201613,25,0,0,0,0,0,99,147,12,7,12,7,25,4,24,7,25,31,4,24,7,99,147,12,7,12,7,25,4,24,7,25,31,4,24,7,false
    0,0,0,0,0,0,0,0,1,6,6,84,4,12,15,8,21,0.6,0.128686,48,42,6,4,0.128686,48,0,0,0,0,0,325,406,1,9,1,9,13,0,9,0,13,194,0,9,0,325,406,1,9,1,9,13,0,9,0,13,194,0,9,0,true
    0.265416,3,24,6,0.12375,0.228261,99,84,1,5,4,124,14,43,72,26,74,1,0.479491,339,329,48,0,0.479491,339,1,1,0,0,1,368,800,11,25,11,25,48,0,47,6,48,186,0,47,6,368,800,11,25,11,25,48,0,47,6,48,186,0,47,6,true
    0,0,0,0,0,0,0,0,1,4,4,14,9,2,2,8,12,1,0.181818,16,14,3,0,0.181818,16,0,0,0,0,0,72,99,1,2,1,2,4,0,2,0,4,45,0,2,0,72,99,1,2,1,2,4,0,2,0,4,45,0,2,0,true
    0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,0,1,1,0.75,9,9,2,0,0.75,9,0,0,5,12,0,3,9,0,1,0,1,1,0,1,0,1,0,0,1,0,3,9,0,1,0,1,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,1,15,5,58,6,4,2,11,17,1,0.250923,68,61,1,0,0.250923,68,2,2,2,2,1,203,256,27,3,12,2,6,1,0,0,12,133,1,2,0,203,256,27,3,12,2,6,1,0,0,12,133,1,2,0,true
    0.404494,6,106,18,0.412903,0.48855,64,64,1,3,3,25,8,2,2,10,11,1,0.276243,50,47,1,0,0.276243,50,2,2,2,2,1,131,155,5,1,0,0,1,0,0,0,10,78,0,2,0,131,155,5,1,0,0,1,0,0,0,10,78,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,2,3,5,7,8,4,5,1,0.2,4,4,1,0,0.2,4,2,2,7,7,1,16,17,15,1,0,0,1,0,0,0,7,9,0,2,0,16,17,15,1,0,0,1,0,0,0,7,9,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,2,3,4,9,10,5,6,0,0,0,0,0,1,0,0,2,2,7,7,1,14,15,5,1,0,0,1,0,0,0,10,7,0,2,0,14,15,5,1,0,0,1,0,0,0,10,7,0,2,0,false
    0.358744,1,5,1,0.206349,0.26087,13,12,3,4,3,8,5,30,34,3,7,0,0.178571,10,10,0,1,0.178571,10,1,1,23,32,1,46,63,15,1,15,0,4,0,0,0,6,13,0,2,0,46,63,15,1,15,0,4,0,0,0,6,13,0,2,0,false
    0.201166,1,4,1,0.120879,0.166667,11,11,3,3,2,16,7,31,31,7,14,0,0.142857,11,11,0,1,0.142857,11,1,1,22,31,1,66,91,5,1,5,0,7,0,0,0,9,32,0,2,0,66,91,5,1,5,0,7,0,0,0,9,32,0,2,0,false
    0,0,0,0,0,0,0,0,1,3,3,15,8,0,0,13,15,0.333333,0.163043,15,15,1,2,0.163043,15,2,2,0,0,1,77,89,26,1,11,1,2,0,2,0,6,39,0,2,0,77,89,26,1,11,1,2,0,2,0,6,39,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,1,11,7,0,0,13,15,0.333333,0.234375,15,15,1,2,0.234375,15,2,2,0,0,1,49,58,6,1,1,1,2,0,2,0,9,31,0,2,0,49,58,6,1,1,1,2,0,2,0,9,31,0,2,0,false
    0.302326,1,3,1,0.279412,0.277778,19,15,1,5,5,10,7,0,0,7,9,0.333333,0.228571,16,12,1,2,0.228571,16,2,2,0,0,1,54,68,16,1,1,1,2,0,2,0,6,27,0,2,0,54,68,16,1,1,1,2,0,2,0,6,27,0,2,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,2,7,1,1,2,0.5,0.375,3,3,1,1,0.375,3,3,5,0,0,1,5,6,4,4,0,0,1,0,1,0,24,1,0,15,2,5,6,4,4,0,0,1,0,1,0,24,1,0,15,2,false
    0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,2,1,0.5,9,9,2,0,0.5,9,3,3,0,0,1,9,16,15,1,0,0,1,0,1,0,8,4,0,3,0,9,16,15,1,0,0,1,0,1,0,8,4,0,3,0,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,1,1,4,6,0.666667,0.434783,10,10,2,1,0.434783,10,3,3,0,0,1,13,22,5,1,0,1,2,0,2,0,10,6,0,2,0,13,22,5,1,0,1,2,0,2,0,10,6,0,2,0,false
    0,0,0,0,0,0,0,0,1,6,5,39,4,0,0,14,17,0.333333,0.0935252,13,13,1,2,0.0935252,13,2,2,0,0,1,126,143,29,1,14,1,3,0,2,0,7,68,0,2,0,126,143,29,1,14,1,3,0,2,0,7,68,0,2,0,false
    0,0,0,0,0,0,0,0,1,3,2,14,6,0,0,15,17,0.333333,0.164557,13,13,1,2,0.164557,13,2,2,0,0,1,66,81,5,1,0,1,2,0,2,0,9,40,0,2,0,66,81,5,1,0,1,2,0,2,0,9,40,0,2,0,false
    0.426136,1,10,2,0.382979,0.45,36,36,1,3,3,17,4,0,0,10,12,0.333333,0.120879,11,11,1,2,0.120879,11,2,2,0,0,1,80,94,23,1,8,1,2,0,2,0,6,38,0,2,0,80,94,23,1,8,1,2,0,2,0,6,38,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,2,13,4,0,0,12,14,0.333333,0.160714,9,9,1,2,0.160714,9,2,2,0,0,1,47,56,5,1,0,1,2,0,2,0,9,29,0,2,0,47,56,5,1,0,1,2,0,2,0,9,29,0,2,0,false
    0,0,0,0,0,0,0,0,1,4,4,8,5,1,0,7,9,0.333333,0.2,13,11,1,2,0.2,13,2,2,0,0,1,52,63,16,1,1,1,2,0,2,0,6,33,0,2,0,52,63,16,1,1,1,2,0,2,0,6,33,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,2,8,3,1,0,5,7,0.333333,0.162791,7,7,1,2,0.162791,7,2,2,0,0,1,36,43,5,1,0,1,2,0,2,0,9,22,0,2,0,36,43,5,1,0,1,2,0,2,0,9,22,0,2,0,false
    0.45,1,2,1,0.227273,0.363636,10,8,1,1,1,4,4,2,0,4,6,1,0.6,33,33,3,0,0.6,33,2,2,0,0,1,22,44,18,1,3,1,2,0,2,0,6,10,0,2,0,22,44,18,1,3,1,2,0,2,0,6,10,0,2,0,false
    0,0,0,0,0,0,0,0,1,2,2,6,5,1,0,4,6,1,0.589286,33,32,3,0,0.589286,33,2,2,0,0,1,23,46,5,1,0,1,2,0,2,0,9,14,0,2,0,23,46,5,1,0,1,2,0,2,0,9,14,0,2,0,false
    0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,3,1,0.807692,21,21,4,0,0.807692,21,0,0,1,1,0,5,26,0,3,0,3,3,0,3,0,3,0,0,3,0,5,26,0,3,0,3,3,0,3,0,3,0,0,3,0,false
