    @RELATION xalan-2.6-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,2,2,11,0,1,1,0,8,1,0.628099,76,76,9,0,0.628099,76,0,0,0,0,0,45,120,0,7,0,7,8,0,8,0,8,12,0,8,0,45,120,0,7,0,7,8,0,8,0,8,12,0,8,0,true
    0.168022,3,10,5,0.0896159,0.153846,63,56,2,7,4,47,3,1,1,1,24,1,0.42984,242,218,22,0,0.412975,261,0,0,0,0,0,321,639,21,8,21,8,23,0,21,4,23,148,0,21,4,371,703,23,8,23,8,24,2,22,4,24,165,2,22,4,true
    0,0,0,0,0,0,0,0,0,0,0,7,3,16,11,0,7,1,0.789474,45,45,8,0,0.789474,45,0,0,1,1,0,12,61,0,5,0,5,7,0,7,0,7,0,0,7,0,12,61,0,5,0,5,7,0,7,0,7,0,0,7,0,false
    0,0,0,0,0,0,0,0,1,3,2,5,9,1,2,5,7,1,0.46,23,23,3,0,0.46,23,1,1,0,0,1,27,43,1,0,1,0,2,0,2,0,14,11,0,14,0,27,43,1,0,1,0,2,0,2,0,14,11,0,14,0,true
    0,0,0,0,0,0,0,0,0,1,1,8,6,9,15,2,9,1,0.72973,81,80,6,0,0.72973,81,0,0,3,5,0,30,112,2,1,2,1,7,0,5,0,7,5,0,5,0,30,112,2,1,2,1,7,0,5,0,7,5,0,5,0,true
    0,0,0,0,0,0,0,0,3,3,3,28,18,0,0,18,26,1,0.343023,59,56,8,0,0.343023,59,1,1,0,0,1,113,181,5,2,3,1,8,0,7,0,10,50,0,7,0,113,181,5,2,3,1,8,0,7,0,10,50,0,7,0,true
    0.114047,1,6,2,0.0705882,0.103627,24,20,1,4,4,31,19,0,0,16,22,1,0.353135,107,90,7,0,0.353135,107,1,1,0,0,1,196,340,11,1,9,0,6,0,6,0,8,86,0,6,0,196,340,11,1,9,0,6,0,6,0,8,86,0,6,0,true
    0,0,0,0,0,0,0,0,1,0,0,3,1,2,6,1,4,1,0.686567,46,44,3,0,0.686567,46,1,1,2,2,1,21,69,4,2,2,1,3,0,2,0,10,4,0,7,0,21,69,4,2,2,1,3,0,2,0,10,4,0,7,0,false
    0.375583,6,24,7,0.231263,0.323988,108,104,1,7,7,62,14,0,0,22,28,1,0.263393,118,107,7,0,0.263393,118,2,2,0,0,1,330,467,6,2,2,0,6,0,6,0,11,170,0,8,0,330,467,6,2,2,0,6,0,6,0,11,170,0,8,0,true
    0.34719,6,26,7,0.239915,0.311573,113,105,1,5,5,58,16,0,0,22,28,1,0.270968,126,112,7,0,0.270968,126,2,2,0,0,1,339,471,4,2,0,0,6,0,6,0,11,178,0,8,0,339,471,4,2,0,0,6,0,6,0,11,178,0,8,0,true
    0,0,0,0,0,0,0,0,1,4,4,10,1,4,7,1,4,0.5,0.202532,16,10,2,2,0.202532,16,0,0,0,0,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,false
    0.355487,3,7,7,0.200787,0.262069,51,38,1,3,2,25,3,5,7,3,12,0.888889,0.367965,85,75,8,1,0.367965,85,0,0,0,0,0,146,254,3,1,3,1,9,0,8,1,9,84,0,8,1,146,254,3,1,3,1,9,0,8,1,9,84,0,8,1,false
    0.236915,1,6,2,0.131068,0.224138,27,26,1,3,3,21,8,2,6,11,18,1,0.410891,83,81,8,0,0.410891,83,0,0,0,0,0,119,206,2,0,2,0,7,1,7,0,7,44,1,7,0,119,206,2,0,2,0,7,1,7,0,7,44,1,7,0,false
    0.0362465,1,8,2,0.0357895,0.0452342,34,28,1,9,5,118,12,2,4,19,29,1,0.281075,251,130,6,0,0.282728,257,0,0,0,0,0,642,939,12,3,12,3,10,4,5,0,10,292,4,5,0,652,950,14,3,14,3,11,4,5,0,11,294,4,5,0,true
    0.918502,7,46,7,0.614726,0.884615,359,253,1,5,5,52,2,2,2,10,20,1,0.475191,249,167,1,0,0.488372,273,0,0,0,0,0,275,551,5,0,5,0,10,0,0,0,10,143,0,0,0,286,584,6,1,6,1,12,0,0,0,12,146,0,0,0,false
    0,0,0,0,0,0,0,0,0,1,1,10,0,2,3,0,9,1,0.242424,16,16,1,0,0.242424,16,0,0,1,1,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,false
    0.705455,5,11,5,0.663462,0.717391,69,66,0,1,1,9,1,0,0,0,8,1,0.122807,7,7,1,0,0.0891089,9,1,1,0,0,1,50,59,1,17,0,8,8,0,0,0,17,10,0,0,0,92,104,1,17,0,8,16,0,8,0,25,31,0,8,0,false
    0,0,0,0,0,0,0,0,1,11,8,31,19,7,8,33,40,1,0.338843,82,61,8,0,0.338843,82,0,0,0,0,0,160,267,5,5,5,5,7,0,7,0,7,73,0,7,0,160,267,5,5,5,5,7,0,7,0,7,73,0,7,0,true
    0,0,0,0,0,0,0,0,1,3,3,6,1,4,6,1,3,1,0.303571,17,17,1,0,0.303571,17,0,0,4,4,0,39,53,0,0,0,0,2,0,0,0,2,19,0,0,0,39,53,0,0,0,0,2,0,0,0,2,19,0,0,0,false
    0,0,0,0,0,0,0,0,2,5,2,7,6,0,0,2,4,1,0.662338,51,51,3,0,0.662338,51,0,0,0,0,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,true
    0.270805,5,32,15,0.159624,0.284672,170,156,13,3,3,108,3,0,0,2,46,1,0.450495,455,423,37,0,0.450495,455,0,0,0,0,0,555,1065,9,5,9,5,44,0,36,0,44,311,0,36,0,555,1065,9,5,9,5,44,0,36,0,44,311,0,36,0,true
    0.472428,4,29,10,0.238267,0.418868,132,111,6,6,6,47,13,1,1,24,30,1,0.454365,229,228,7,0,0.454365,229,1,1,0,0,1,275,554,1,0,1,0,6,1,6,0,8,181,1,6,0,275,554,1,0,1,0,6,1,6,0,8,181,1,6,0,false
    0.41989,2,16,4,0.172414,0.344371,60,52,15,7,2,43,2,0,0,4,22,1,0.537764,178,176,19,0,0.537764,178,1,1,0,0,1,153,348,7,0,7,0,18,0,18,0,20,86,0,18,0,153,348,7,0,7,0,18,0,18,0,20,86,0,18,0,false
    0.410758,1,10,2,0.203046,0.375,40,36,6,3,2,25,3,1,3,10,16,1,0.481283,90,88,7,0,0.481283,90,1,1,0,0,1,97,197,0,0,0,0,6,0,6,0,8,72,0,6,0,97,197,0,0,0,0,6,0,6,0,8,72,0,6,0,false
    0,0,0,0,0,0,0,0,5,2,2,26,3,0,0,4,13,1,0.507519,135,132,10,0,0.5,145,1,1,0,0,1,131,288,0,0,0,0,9,0,9,0,11,72,0,9,0,145,305,1,0,1,0,9,0,9,0,11,72,0,9,0,false
    0,0,0,0,0,0,0,0,8,4,2,25,12,1,1,22,33,1,0.514286,162,151,10,0,0.505882,172,0,0,0,0,0,153,351,0,0,0,0,11,0,9,0,11,75,0,9,0,168,369,1,0,1,0,11,0,9,0,11,75,0,9,0,true
    0.997531,4,20,8,0.511848,0.977778,108,88,8,1,1,24,3,0,0,4,12,1,0.502513,100,100,9,0,0.502513,100,0,0,0,0,0,99,211,0,0,0,0,8,0,8,0,8,56,0,8,0,99,211,0,0,0,0,8,0,8,0,8,56,0,8,0,true
    0.918502,7,46,7,0.614726,0.884615,359,253,1,5,5,52,2,1,1,10,20,1,0.475191,249,167,1,0,0.488372,273,0,0,0,0,0,275,551,5,0,5,0,10,0,0,0,10,143,0,0,0,286,584,6,1,6,1,12,0,0,0,12,146,0,0,0,false
    0,0,0,0,0,0,0,0,1,6,6,14,10,0,0,15,17,1,0.39759,66,53,3,0,0.39759,66,0,0,0,0,0,100,164,0,0,0,0,2,0,2,0,2,63,0,2,0,100,164,0,0,0,0,2,0,2,0,2,63,0,2,0,false
    0,0,0,0,0,0,0,0,1,6,3,42,10,0,0,16,22,1,0.36193,135,115,4,0,0.36193,135,0,0,0,0,0,238,314,4,1,4,1,6,2,3,0,6,96,2,3,0,238,314,4,1,4,1,6,2,3,0,6,96,2,3,0,false
    0,0,0,0,0,0,0,0,0,1,1,10,0,2,3,0,9,1,0.242424,16,16,1,0,0.242424,16,0,0,1,1,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,false
    0.705455,5,11,5,0.663462,0.717391,69,66,0,1,1,9,1,0,0,0,8,1,0.122807,7,7,1,0,0.0891089,9,1,1,0,0,1,50,59,1,17,0,8,8,0,0,0,17,10,0,0,0,92,104,1,17,0,8,16,0,8,0,25,31,0,8,0,false
    0,0,0,0,0,0,0,0,0,0,0,14,0,4,8,0,14,1,0.846847,94,94,15,0,0.846847,94,0,0,1,1,0,17,123,0,1,0,1,14,0,14,7,14,0,0,14,7,17,123,0,1,0,1,14,0,14,7,14,0,0,14,7,false
    0,0,0,0,0,0,0,0,1,2,2,9,3,2,3,3,8,1,0.595506,53,40,6,0,0.595506,53,0,0,0,0,0,36,101,2,1,2,1,5,0,5,0,5,14,0,5,0,36,101,2,1,2,1,5,0,5,0,5,14,0,5,0,true
    0.194954,20,198,26,0.128463,0.200708,204,170,1,4,3,237,15,2,11,76,172,1,0.390313,548,512,67,0,0.392226,555,4,4,2,2,1,856,1579,56,95,13,53,96,0,66,4,179,463,21,127,7,860,1588,56,95,13,53,97,0,67,4,180,463,21,128,7,true
    0.0383747,1,3,1,0.0204082,0.0305344,11,8,1,4,4,59,6,2,2,8,27,1,0.413717,187,135,17,0,0.413717,187,1,1,0,0,1,265,539,8,1,8,1,19,0,16,7,19,127,0,16,7,265,539,8,1,8,1,19,0,16,7,19,127,0,16,7,false
    0.108844,1,1,1,0.0612245,0.112245,12,11,1,1,1,12,1,2,5,1,8,1,0.4125,66,45,7,0,0.417143,73,0,0,0,0,0,94,183,4,1,4,1,7,0,6,1,7,45,0,6,1,102,196,5,1,5,1,8,1,7,1,8,46,1,7,1,false
    0.918502,7,46,7,0.614726,0.884615,359,253,1,5,5,52,2,1,1,10,20,1,0.475191,249,167,1,0,0.488372,273,0,0,0,0,0,275,551,5,0,5,0,10,0,0,0,10,143,0,0,0,286,584,6,1,6,1,12,0,0,0,12,146,0,0,0,false
    0,0,0,0,0,0,0,0,2,1,1,7,0,1,6,0,5,1,0.52459,32,31,6,0,0.52459,32,0,0,0,0,0,29,65,2,1,2,1,5,0,5,1,5,8,0,5,1,29,65,2,1,2,1,5,0,5,1,5,8,0,5,1,false
    0,0,0,0,0,0,0,0,1,1,1,15,0,3,8,0,13,0.769231,0.532751,122,37,10,3,0.532751,122,0,0,0,0,0,107,247,6,4,6,4,13,0,12,4,13,58,0,12,4,107,247,6,4,6,4,13,0,12,4,13,58,0,12,4,false
    0.315843,13,60,36,0.227498,0.36645,230,225,1,6,6,96,15,1,7,34,50,0.6,0.310766,280,228,6,4,0.310766,280,5,5,0,0,1,621,1011,121,97,65,2,16,0,9,1,195,240,21,136,8,621,1011,121,97,65,2,16,0,9,1,195,240,21,136,8,true
    0.181176,3,3,3,0.0969388,0.13,19,13,1,3,3,16,5,1,1,5,10,1,0.430939,78,77,4,0,0.430939,78,5,5,0,0,1,103,196,71,95,15,0,5,0,3,0,184,45,21,130,7,103,196,71,95,15,0,5,0,3,0,184,45,21,130,7,false
    0,0,0,0,0,0,0,0,2,5,5,68,5,2,4,12,25,0.8,0.354749,127,99,8,2,0.354749,127,0,0,0,0,0,231,402,10,2,10,2,13,3,9,1,13,128,3,9,1,231,402,10,2,10,2,13,3,9,1,13,128,3,9,1,false
    0,0,0,0,0,0,0,0,0,1,1,10,0,2,3,0,9,1,0.242424,16,16,1,0,0.242424,16,0,0,1,1,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,50,88,1,9,1,9,9,0,0,0,9,13,0,0,0,false
    0.705455,5,11,5,0.663462,0.717391,69,66,0,1,1,9,1,0,0,0,8,1,0.122807,7,7,1,0,0.0891089,9,1,1,0,0,1,50,59,1,17,0,8,8,0,0,0,17,10,0,0,0,92,104,1,17,0,8,16,0,8,0,25,31,0,8,0,false
    0.141405,3,33,9,0.0916399,0.158385,114,102,1,6,4,158,14,2,6,29,67,1,0.401292,435,369,33,0,0.401292,435,0,0,0,0,0,649,1244,16,3,16,3,38,0,32,3,38,351,0,32,3,649,1244,16,3,16,3,38,0,32,3,38,351,0,32,3,true
