    @RELATION ivy-2.0-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.0655106,2,4,4,0.0473373,0.0736648,40,40,1,2,2,93,37,77,391,62,134,0.352113,0.298649,221,216,25,46,0.302057,235,0,0,0,0,0,519,812,18,18,18,18,72,1,70,12,72,240,1,70,12,543,845,18,18,18,18,74,1,72,12,74,251,1,72,12,false
    0,0,0,0,0,0,0,0,1,1,1,68,30,0,0,78,137,0.0172414,0.0653951,24,23,1,57,0.0653951,24,0,0,0,0,0,343,408,1,4,1,4,59,0,57,1,59,81,0,57,1,343,408,1,4,1,4,59,0,57,1,59,81,0,57,1,false
    0.0557276,1,4,2,0.0454545,0.0483871,20,18,1,4,4,68,26,1,4,74,86,0.5,0.0676692,27,17,1,1,0.0676692,27,0,0,0,0,0,372,440,1,2,1,2,12,0,1,0,12,193,0,1,0,372,440,1,2,1,2,12,0,1,0,12,193,0,1,0,true
    0,0,0,0,0,0,0,0,1,1,1,15,0,0,0,0,12,0.0769231,0.0983607,6,4,1,12,0.0983607,6,0,0,0,0,0,55,71,3,1,3,1,12,0,12,3,12,22,0,12,3,55,71,3,1,3,1,12,0,12,3,12,22,0,12,3,false
    0,0,0,0,0,0,0,0,1,4,4,22,8,0,0,8,20,0.1,0.208696,24,23,1,9,0.208696,24,3,3,0,0,2,91,111,9,9,5,4,12,0,9,4,21,47,0,16,7,91,111,9,9,5,4,12,0,9,4,21,47,0,16,7,false
    0,0,0,0,0,0,0,0,1,2,2,16,7,0,0,6,15,0.125,0.217949,17,17,1,7,0.217949,17,3,3,0,0,2,61,78,8,7,4,2,9,0,7,3,18,33,0,14,6,61,78,8,7,4,2,9,0,7,3,18,33,0,14,6,false
    0,0,0,0,0,0,0,0,1,1,1,9,4,2,2,3,10,0.285714,0.369231,24,23,2,5,0.318681,29,2,2,0,0,1,41,73,8,3,4,0,7,0,6,0,24,18,0,21,1,62,106,9,3,5,0,14,0,13,0,31,23,0,28,1,false
    0,0,0,0,0,0,0,0,2,3,3,56,12,6,23,25,51,0.15,0.0962343,23,20,3,17,0.0845588,23,0,0,0,0,0,216,285,9,10,9,10,26,0,19,9,26,108,0,19,9,249,329,13,14,13,14,35,0,28,13,35,117,0,28,13,false
    0,0,0,0,0,0,0,0,1,2,2,13,3,1,1,8,14,0.166667,0.208955,14,14,1,5,0.208955,14,2,2,0,0,2,53,77,4,3,2,1,6,0,5,2,12,30,0,8,3,53,77,4,3,2,1,6,0,5,2,12,30,0,8,3,false
    0,0,0,0,0,0,0,0,1,3,3,12,9,1,3,14,21,0.142857,0.0526316,3,3,1,6,0.0526316,3,2,2,0,0,1,54,66,21,32,3,2,7,0,6,4,72,30,1,40,22,54,66,21,32,3,2,7,0,6,4,72,30,1,40,22,false
    0,0,0,0,0,0,0,0,1,6,6,33,17,1,1,45,58,0.285714,0.0301508,6,4,2,5,0.0301508,6,2,2,0,0,1,193,229,20,32,2,2,13,0,6,2,78,114,1,40,20,193,229,20,32,2,2,13,0,6,2,78,114,1,40,20,false
    0,0,0,0,0,0,0,0,1,5,5,88,12,1,15,18,54,0.103448,0.163218,71,53,3,26,0.15991,71,1,1,0,0,1,364,508,18,24,14,9,36,1,28,13,64,217,2,34,17,373,518,23,24,19,9,37,6,28,13,65,217,7,34,17,false
    0.0665054,2,9,2,0.0595238,0.0676328,15,14,1,3,3,55,8,1,10,16,37,0.0555556,0.0454545,8,4,1,17,0.0372093,8,1,1,0,0,1,168,201,12,23,8,8,21,0,17,9,49,82,1,23,13,207,252,18,29,14,14,29,0,25,9,57,94,1,31,13,true
    0,0,0,0,0,0,0,0,1,4,4,21,3,1,7,3,10,0.2,0.258621,30,26,1,4,0.258621,30,3,3,0,0,1,86,122,19,36,1,4,7,0,4,2,74,51,1,38,20,86,122,19,36,1,4,7,0,4,2,74,51,1,38,20,false
    0,0,0,0,0,0,0,0,1,2,2,8,3,1,9,3,7,0.4,0.170732,7,7,2,3,0.170732,7,3,3,0,0,1,34,45,20,33,2,1,4,0,4,2,71,17,1,38,20,34,45,20,33,2,1,4,0,4,2,71,17,1,38,20,false
    0,0,0,0,0,0,0,0,0,3,3,10,12,2,2,19,21,1,0.0714286,4,4,1,0,0.0714286,4,2,2,2,2,1,52,58,18,32,0,2,2,0,0,0,68,39,1,35,18,52,58,18,32,0,2,2,0,0,0,68,39,1,35,18,false
    0,0,0,0,0,0,0,0,1,4,4,12,3,0,0,3,9,0.285714,0.22807,13,13,2,5,0.22807,13,1,1,0,0,1,44,61,7,17,3,2,6,0,6,2,34,24,1,12,6,44,61,7,17,3,2,6,0,6,2,34,24,1,12,6,false
    0,0,0,0,0,0,0,0,1,3,2,10,5,1,4,7,12,0.5,0.314815,17,17,3,3,0.314815,17,1,1,0,0,1,37,60,8,16,4,1,5,2,5,2,33,18,3,11,6,37,60,8,16,4,1,5,2,5,2,33,18,3,11,6,false
    0,0,0,0,0,0,0,0,1,1,1,25,1,3,16,17,36,0.0526316,0.128713,13,13,1,18,0.128713,13,0,0,0,0,0,88,124,6,8,6,8,19,3,18,9,19,32,3,18,9,88,124,6,8,6,8,19,3,18,9,19,32,3,18,9,false
    0.35119,1,4,1,0.222222,0.25641,10,10,1,2,2,10,4,1,1,5,10,0.166667,0.0714286,3,3,1,5,0.0714286,3,1,1,0,0,1,39,45,6,17,2,2,5,0,5,2,33,15,1,11,6,39,45,6,17,2,2,5,0,5,2,33,15,1,11,6,false
    0.0600462,2,7,2,0.0656168,0.0844595,25,25,1,3,3,47,8,3,16,17,45,0.037037,0.02,4,4,1,26,0.075,24,1,1,0,0,1,196,243,17,25,13,10,28,0,26,14,56,87,1,32,18,296,381,17,25,13,10,30,0,28,14,59,163,1,35,18,false
    0,0,0,0,0,0,0,0,1,3,3,28,3,0,0,6,22,0.0666667,0.0647482,9,7,1,14,0.0608108,9,0,0,0,0,0,130,158,8,6,8,6,16,0,14,5,16,75,0,14,5,139,169,9,7,9,7,18,0,16,6,18,77,0,16,6,false
    0.3125,2,9,2,0.202703,0.241379,15,14,1,1,1,16,6,1,3,8,19,0.0833333,0.0645161,4,4,1,11,0.0645161,4,1,1,0,0,1,58,74,9,20,5,5,11,0,11,5,39,23,1,17,9,58,74,9,20,5,5,11,0,11,5,39,23,1,17,9,true
    0,0,0,0,0,0,0,0,1,3,3,31,12,2,6,24,38,0.0714286,0.0338983,4,3,1,13,0.0338983,4,1,1,0,0,1,114,139,10,21,6,6,14,0,13,7,42,59,1,19,11,114,139,10,21,6,6,14,0,13,7,42,59,1,19,11,true
    0,0,0,0,0,0,0,0,1,2,1,42,9,1,8,15,39,0.04,0.0211268,3,3,1,24,0.0211268,3,1,1,0,0,1,139,175,15,23,11,8,24,0,24,12,52,50,1,30,16,139,175,15,23,11,8,24,0,24,12,52,50,1,30,16,false
    0.235294,2,9,2,0.173469,0.220779,17,17,1,1,1,21,5,1,2,7,22,0.0625,0.0493827,4,4,1,15,0.0493827,4,1,1,0,0,1,77,98,11,22,7,7,15,0,15,7,43,33,1,21,11,77,98,11,22,7,7,15,0,15,7,43,33,1,21,11,true
    0.209964,1,4,1,0.108696,0.126582,10,10,1,2,2,17,8,0,0,8,17,0.111111,0.0454545,3,3,1,8,0.0365854,3,1,1,0,0,1,63,76,8,19,4,4,9,0,8,3,37,26,1,14,7,79,92,10,21,6,6,13,0,12,5,41,30,1,18,9,false
    0.066383,2,10,3,0.0846995,0.106529,31,31,1,4,3,69,14,13,43,40,77,0.0344828,0.0427632,13,3,1,28,0.0427632,13,1,1,5,7,1,291,366,18,30,14,15,37,0,28,14,66,146,1,35,18,291,366,18,30,14,15,37,0,28,14,66,146,1,35,18,true
    0.0969932,3,11,3,0.0742459,0.0960961,32,32,1,2,2,63,10,1,14,40,84,0.0666667,0.0332103,9,9,3,42,0.0263158,9,1,1,0,0,1,262,337,25,26,21,11,44,0,44,22,72,105,1,50,26,333,431,29,42,25,27,65,0,65,26,93,126,1,71,30,false
    0.0251799,1,3,1,0.0314961,0.040678,12,12,1,5,5,72,13,1,6,23,56,0.0357143,0.0605096,19,3,1,27,0.0605096,19,1,1,0,0,1,295,381,18,26,14,11,33,0,27,13,61,149,1,33,17,295,381,18,26,14,11,33,0,27,13,61,149,1,33,17,true
    0,0,0,0,0,0,0,0,1,2,2,52,14,1,3,28,63,0.0333333,0.0482456,11,4,1,29,0.0482456,11,1,1,0,0,1,217,285,18,26,14,11,35,0,29,14,63,103,1,35,18,217,285,18,26,14,11,35,0,29,14,63,103,1,35,18,false
    0,0,0,0,0,0,0,0,1,4,4,72,11,9,51,39,85,0.0444444,0.0387097,12,6,2,43,0.0387097,12,1,1,0,0,1,298,373,24,29,20,14,46,0,44,23,74,124,1,50,27,298,373,24,29,20,14,46,0,44,23,74,124,1,50,27,false
    0,0,0,0,0,0,0,0,1,1,1,11,6,1,9,20,29,0.222222,0.106061,7,6,2,7,0.106061,7,2,2,0,0,1,59,76,22,33,4,3,9,0,8,4,74,19,1,42,22,59,76,22,33,4,3,9,0,8,4,74,19,1,42,22,false
    0,0,0,0,0,0,0,0,6,2,2,54,11,49,209,23,52,0.375,0.0991379,23,22,3,5,0.0991379,23,0,0,21,28,0,209,266,4,15,4,15,29,1,7,4,29,104,1,7,4,209,266,4,15,4,15,29,1,7,4,29,104,1,7,4,false
    0,0,0,0,0,0,0,0,1,4,4,21,3,1,4,3,15,0.0833333,0.0465116,4,3,1,11,0.0465116,4,1,1,0,0,1,82,99,9,21,5,6,12,0,11,5,40,38,1,17,9,82,99,9,21,5,6,12,0,11,5,40,38,1,17,9,false
    0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,10,0.1,0.0833333,3,3,1,9,0.0833333,3,0,0,0,0,0,33,45,4,5,4,5,9,0,9,4,9,9,0,9,4,33,45,4,5,4,5,9,0,9,4,9,9,0,9,4,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.545455,6,6,1,1,0.545455,6,1,1,0,0,1,5,7,0,2,0,1,1,0,1,0,2,1,0,2,0,5,7,0,2,0,1,1,0,1,0,2,1,0,2,0,false
    0.178102,1,8,2,0.0985507,0.177083,34,34,1,2,2,51,8,39,49,8,37,0.428571,0.388535,122,114,12,16,0.388535,122,0,0,0,0,0,192,345,7,11,7,11,29,0,27,3,29,97,0,27,3,192,345,7,11,7,11,29,0,27,3,29,97,0,27,3,false
    0.13784,1,6,2,0.0803571,0.103448,36,36,4,4,4,74,9,42,63,15,42,0.12,0.0292208,9,4,3,22,0.0645161,24,0,0,0,0,0,299,373,12,3,12,3,27,10,24,0,27,162,10,24,0,348,448,20,3,20,3,30,10,27,0,30,186,10,27,0,true
    0,0,0,0,0,0,0,0,1,0,0,10,1,4,4,2,12,0.1,0.170732,7,7,1,9,0.170732,7,0,0,3,3,0,34,44,1,0,1,0,10,0,9,0,10,11,0,9,0,34,44,1,0,1,0,10,0,9,0,10,11,0,9,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,0,13,15,0,4,0,0.419355,13,13,0,5,0.419355,13,0,0,3,3,0,18,36,4,1,4,1,4,3,4,1,4,4,3,4,1,18,36,4,1,4,1,4,3,4,1,4,4,3,4,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0.5,0.375,3,3,1,1,0.375,3,1,1,0,0,1,5,7,0,2,0,1,1,0,1,0,2,1,0,2,0,5,7,0,2,0,1,1,0,1,0,2,1,0,2,0,false
    0,0,0,0,0,0,0,0,0,2,2,5,0,8,6,0,2,1,0.514286,18,18,3,0,0.514286,18,0,0,2,2,0,17,34,0,2,0,2,2,0,2,0,2,8,0,2,0,17,34,0,2,0,2,2,0,2,0,2,8,0,2,0,false
    0,0,0,0,0,0,0,0,1,1,1,18,2,27,29,1,11,0.545455,0.380435,35,35,6,5,0.380435,35,0,0,0,0,0,57,103,5,2,5,2,10,0,10,0,10,26,0,10,0,57,103,5,2,5,2,10,0,10,0,10,26,0,10,0,false
    0,0,0,0,0,0,0,0,1,0,0,4,1,4,5,0,4,0,0,0,0,0,5,0,0,0,0,1,1,0,18,19,2,1,2,1,4,0,4,2,4,6,0,4,2,18,19,2,1,2,1,4,0,4,2,4,6,0,4,2,false
    0,0,0,0,0,0,0,0,2,0,0,10,2,3,6,0,10,0,0,0,0,0,11,0,0,1,1,0,0,1,42,43,7,4,5,3,10,0,10,5,14,15,0,14,7,42,43,7,4,5,3,10,0,10,5,14,15,0,14,7,false
    0,0,0,0,0,0,0,0,1,1,1,5,0,2,5,0,2,1,0.413793,12,12,2,0,0.413793,12,0,0,0,0,0,17,27,0,0,0,0,2,0,1,0,2,6,0,1,0,17,27,0,0,0,0,2,0,1,0,2,6,0,1,0,false
    0.0328384,2,12,3,0.0324118,0.0418204,34,34,1,6,6,174,46,10,30,109,185,0.12,0.123768,113,79,6,44,0.12203,113,1,2,0,0,2,800,1033,24,36,24,36,76,0,49,15,76,410,0,49,15,813,1049,25,36,25,36,79,0,52,15,79,413,0,52,15,true
    0,0,0,0,0,0,0,0,2,0,0,17,4,1,2,5,22,0,0,0,0,0,18,0,0,1,1,0,0,1,68,93,6,9,6,9,17,0,17,4,17,20,0,17,4,71,96,6,9,6,9,18,0,18,4,18,21,0,18,4,false
    0,0,0,0,0,0,0,0,0,0,0,3,5,4,1,0,3,0,0,0,0,0,4,0,0,0,0,1,1,0,9,9,0,0,0,0,3,0,3,0,3,0,0,3,0,9,9,0,0,0,0,3,0,3,0,3,0,0,3,0,false
    0,0,0,0,0,0,0,0,1,2,2,11,6,2,14,6,11,0.75,0.233766,18,14,3,1,0.195652,18,0,0,0,0,0,59,82,2,2,2,2,5,0,3,0,5,32,0,3,0,74,99,5,2,5,2,7,0,3,0,7,36,0,3,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,4,5,0,0,0,0,1,0,1,0,1,0,0,1,0,4,5,0,0,0,0,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,4,4,0,0,0,0,1,0,1,0,1,0,0,1,0,4,4,0,0,0,0,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,1,2,2,6,3,3,2,12,16,0.8,0.444444,24,23,4,1,0.25,24,0,0,0,0,0,30,50,3,1,3,1,4,0,4,0,4,15,0,4,0,72,103,3,9,3,9,15,0,15,0,15,34,0,15,0,true
    0,0,0,0,0,0,0,0,0,0,0,8,14,16,14,0,8,0.888889,0.815126,97,97,8,1,0.815126,97,0,0,1,1,0,22,128,0,2,0,2,8,0,8,0,8,0,0,8,0,22,128,0,2,0,2,8,0,8,0,8,0,0,8,0,true
    0,0,0,0,0,0,0,0,0,0,0,6,1,25,31,0,6,0.142857,0.272727,3,3,1,6,0.272727,3,0,0,1,1,0,8,16,0,5,0,5,6,0,6,0,6,0,0,6,0,8,16,0,5,0,5,6,0,6,0,6,0,0,6,0,false
    0,0,0,0,0,0,0,0,1,6,6,18,13,1,1,18,20,0.333333,0.12766,12,7,1,2,0.12766,12,0,0,0,0,0,82,100,2,0,2,0,2,0,2,0,2,57,0,2,0,82,100,2,0,2,0,2,0,2,0,2,57,0,2,0,false
    0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,3,0,0,1,1,1,1,1,4,7,0,9,0,1,2,0,2,0,13,0,0,13,0,4,7,0,9,0,1,2,0,2,0,13,0,0,13,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,1,2,0,0,0,0,0,2,0,0,1,1,1,1,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,2,2,16,16,1,4,42,46,0.5,0.236486,35,26,2,2,0.236486,35,0,0,0,0,0,113,157,1,1,1,1,4,0,3,0,4,64,0,3,0,113,157,1,1,1,1,4,0,3,0,4,64,0,3,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,3,5,0,8,0,0,1,0,1,0,11,0,0,11,0,3,5,0,8,0,0,1,0,1,0,11,0,0,11,0,false
    0,0,0,0,0,0,0,0,1,0,0,20,3,5,6,1,21,0.666667,0.513812,93,93,14,7,0.513812,93,0,0,0,0,0,88,207,8,6,8,6,20,0,20,8,20,32,0,20,8,88,207,8,6,8,6,20,0,20,8,20,32,0,20,8,false
    0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,1,1,0.764706,13,13,2,0,0.764706,13,0,0,1,2,0,4,16,0,0,0,0,1,0,1,0,1,0,0,1,0,4,16,0,0,0,0,1,0,1,0,1,0,0,1,0,false
