    @RELATION jedit-4.2-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,2,2,31,20,1,1,31,41,0.5,0.249012,63,33,1,1,0.249012,63,2,2,0,0,1,190,270,8,4,1,0,10,0,1,0,28,81,1,19,1,190,270,8,4,1,0,10,0,1,0,28,81,1,19,1,false
    0,0,0,0,0,0,0,0,2,1,1,12,9,11,11,9,17,0.142857,0.0967742,6,4,1,6,0.0967742,6,2,2,0,0,1,56,70,8,5,1,1,8,1,6,0,26,15,2,24,1,56,70,8,5,1,1,8,1,6,0,26,15,2,24,1,false
    0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,6,8,0.5,0.514286,18,17,1,1,0.514286,18,2,2,0,0,1,17,37,7,5,0,1,2,0,1,0,20,9,1,19,1,17,37,7,5,0,1,2,0,1,0,20,9,1,19,1,false
    0,0,0,0,0,0,0,0,1,3,3,13,7,2,2,8,13,0.4,0.326531,32,21,2,3,0.326531,32,2,2,0,0,1,66,106,11,4,4,0,5,4,4,0,23,34,5,22,1,66,106,11,4,4,0,5,4,4,0,23,34,5,22,1,false
    0,0,0,0,0,0,0,0,2,4,4,14,8,3,3,10,14,0.333333,0.279279,31,7,1,2,0.279279,31,2,2,0,0,1,80,123,7,4,0,0,4,0,2,0,22,41,1,20,1,80,123,7,4,0,0,4,0,2,0,22,41,1,20,1,false
    0.316514,2,20,4,0.283784,0.32381,42,34,1,3,2,43,10,1,1,12,15,0,0.115702,14,0,0,2,0.115702,14,2,3,0,0,2,107,148,139,4,1,0,3,1,1,0,21,46,133,19,1,107,148,139,4,1,0,3,1,1,0,21,46,133,19,1,false
    0,0,0,0,0,0,0,0,1,4,3,41,9,1,11,10,14,0.5,0.491329,85,11,1,1,0.491329,85,2,3,0,0,2,88,186,139,4,1,0,4,1,1,0,22,45,133,19,1,88,186,139,4,1,0,4,1,1,0,22,45,133,19,1,false
    0,0,0,0,0,0,0,0,1,3,3,18,10,11,8,8,12,0.333333,0.21875,21,10,1,2,0.212121,21,2,2,0,0,1,75,109,8,4,1,0,4,1,2,0,22,43,2,20,1,78,112,8,4,1,0,5,1,3,0,23,43,2,21,1,false
    0,0,0,0,0,0,0,0,1,1,1,3,8,1,1,7,9,0.666667,0.37931,11,10,2,1,0.37931,11,2,2,0,0,1,18,27,7,4,0,0,2,0,2,0,20,9,1,20,1,18,27,7,4,0,0,2,0,2,0,20,9,1,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,8,10,3,1,9,12,0.666667,0.25,15,12,2,1,0.25,15,2,2,0,0,1,45,67,13,4,6,0,3,0,2,0,21,22,1,20,1,45,67,13,4,6,0,3,0,2,0,21,22,1,20,1,false
    0.195122,1,8,1,0.285714,0.287671,26,21,1,4,4,16,13,1,1,17,19,0.5,0.136364,12,10,1,1,0.136364,12,2,3,0,0,2,76,91,139,4,1,0,2,0,1,0,20,46,132,19,1,76,91,139,4,1,0,2,0,1,0,20,46,132,19,1,false
    0.261682,1,8,1,0.259615,0.323077,27,21,1,4,4,17,10,1,1,8,10,0.5,0.27957,26,3,1,1,0.27957,26,2,3,0,0,2,67,104,146,4,8,0,2,3,1,0,20,38,135,19,1,67,104,146,4,8,0,2,3,1,0,20,38,135,19,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,7,9,8,4,1,0,1,1,1,0,19,1,2,19,1,7,9,8,4,1,0,1,1,1,0,19,1,2,19,1,false
    0,0,0,0,0,0,0,0,1,1,1,5,5,3,4,5,8,0.666667,0.285714,10,8,2,1,0.285714,10,2,2,0,0,1,25,34,10,5,3,1,3,3,2,0,21,8,4,20,1,25,34,10,5,3,1,3,3,2,0,21,8,4,20,1,false
    0,0,0,0,0,0,0,0,1,1,1,11,5,5,5,5,10,0.25,0.125,8,8,1,3,0.125,8,2,2,0,0,1,56,79,11,6,4,2,5,0,3,0,23,35,1,21,1,56,79,11,6,4,2,5,0,3,0,23,35,1,21,1,false
    0,0,0,0,0,0,0,0,1,2,2,9,6,4,4,6,9,0,0,0,0,0,3,0,0,2,2,0,0,1,37,42,7,4,0,0,3,0,2,0,21,17,1,20,1,37,42,7,4,0,0,3,0,2,0,21,17,1,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,7,8,1,1,10,12,0,0,0,0,0,2,0,0,2,2,0,0,1,41,44,10,4,3,0,2,3,1,0,20,16,4,19,1,41,44,10,4,3,0,2,3,1,0,20,16,4,19,1,false
    0,0,0,0,0,0,0,0,1,5,5,21,6,1,1,3,8,0,0.047619,4,0,0,3,0.047619,4,2,2,0,0,1,80,103,8,5,1,1,5,1,2,0,23,42,2,20,1,80,103,8,5,1,1,5,1,2,0,23,42,2,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,19,13,4,2,14,22,0.333333,0.253968,32,16,1,2,0.253968,32,2,2,0,0,1,94,144,15,6,8,2,8,2,2,0,26,46,3,20,1,94,144,15,6,8,2,8,2,2,0,26,46,3,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,13,12,2,2,11,15,0.5,0.236364,13,4,1,1,0.236364,13,2,2,0,0,1,42,63,7,6,0,2,4,0,1,0,22,21,1,19,1,42,63,7,6,0,2,4,0,1,0,22,21,1,19,1,false
    0,0,0,0,0,0,0,0,1,0,0,2,7,1,1,5,7,0,0.0625,1,0,0,3,0.0625,1,2,2,0,0,1,15,18,7,4,0,0,2,0,2,0,20,6,1,20,1,15,18,7,4,0,0,2,0,2,0,20,6,1,20,1,false
    0,0,0,0,0,0,0,0,1,3,3,13,8,4,3,10,14,0.666667,0.283784,21,14,2,1,0.283784,21,2,2,0,0,1,53,81,7,4,0,0,4,0,2,0,22,27,1,20,1,53,81,7,4,0,0,4,0,2,0,22,27,1,20,1,false
