    @RELATION log4j-1.0-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,9,4,13,15,0,9,1,0.765432,62,62,10,0,0.765432,62,0,0,1,14,0,19,89,0,1,0,1,9,0,9,3,9,0,0,9,3,19,89,0,1,0,1,9,0,9,3,9,0,0,9,3,true
    0,0,0,0,0,0,0,0,2,2,2,27,8,12,14,6,22,1,0.541485,124,120,16,0,0.541485,124,1,2,10,13,2,105,262,8,4,8,4,16,1,15,5,18,33,1,17,5,105,262,8,4,8,4,16,1,15,5,18,33,1,17,5,false
    0,0,0,0,0,0,0,0,2,2,2,19,9,0,0,18,30,0.384615,0.392157,60,54,5,8,0.392157,60,2,4,0,0,2,93,156,14,7,6,3,12,1,12,1,27,35,2,26,6,93,156,14,7,6,3,12,1,12,1,27,35,2,26,6,true
    0,0,0,0,0,0,0,0,7,2,2,18,10,14,18,17,29,1,0.506276,121,116,10,0,0.506276,121,0,0,2,2,0,118,263,2,0,2,0,12,2,9,0,12,37,2,9,0,118,263,2,0,2,0,12,2,9,0,12,37,2,9,0,true
    0,0,0,0,0,0,0,0,2,3,3,108,10,70,170,18,65,1,0.559511,503,492,43,0,0.559511,503,1,1,4,4,1,396,980,18,14,18,14,47,4,42,4,47,162,4,42,4,396,980,18,14,18,14,47,4,42,4,47,162,4,42,4,true
    0,0,0,0,0,0,0,0,1,1,1,6,0,1,3,0,3,0.333333,0.148148,4,4,1,2,0.148148,4,0,0,0,0,0,23,28,2,0,2,0,3,0,2,0,3,8,0,2,0,23,28,2,0,2,0,3,0,2,0,3,8,0,2,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,3,0,0,0,0,0,2,0,0,1,1,0,0,1,8,10,0,0,0,0,2,0,1,0,2,1,0,1,0,8,10,0,0,0,0,2,0,1,0,2,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,3,3,8,3,1,1,4,6,1,0.45,27,13,2,0,0.45,27,0,0,0,0,0,33,65,2,0,2,0,2,0,1,0,2,17,0,1,0,33,65,2,0,2,0,2,0,1,0,2,17,0,1,0,false
    0.0739437,1,3,1,0.025522,0.0613497,11,10,2,3,2,40,9,13,27,14,34,1,0.576531,226,215,16,0,0.576531,226,2,3,2,3,1,166,431,17,5,9,1,20,3,15,6,35,68,4,29,11,166,431,17,5,9,1,20,3,15,6,35,68,4,29,11,true
    0,0,0,0,0,0,0,0,3,1,1,17,6,0,0,9,18,0.444444,0.238806,32,32,4,5,0.25625,41,2,2,0,0,1,102,176,7,8,5,5,9,1,8,1,12,62,3,11,1,119,203,8,8,6,5,12,1,11,1,15,67,3,14,1,true
    0,0,0,0,0,0,0,0,1,4,2,27,6,11,17,9,20,1,0.544262,166,135,10,0,0.544262,166,0,0,0,0,0,139,307,4,4,4,4,11,0,9,0,11,77,0,9,0,139,307,4,4,4,4,11,0,9,0,11,77,0,9,0,true
    0,0,0,0,0,0,0,0,0,0,0,5,2,29,6,0,5,1,0.592593,32,32,6,0,0.592593,32,1,1,5,7,1,22,59,2,4,2,3,5,2,5,0,8,3,2,8,1,22,59,2,4,2,3,5,2,5,0,8,3,2,8,1,false
    0,0,0,0,0,0,0,0,1,2,2,28,2,13,16,2,13,1,0.635258,209,196,10,0,0.614035,210,0,0,0,0,0,120,285,3,1,3,1,11,0,9,1,11,61,0,9,1,132,299,5,1,5,1,12,0,9,1,12,65,0,9,1,true
    0,0,0,0,0,0,0,0,3,1,1,14,4,11,11,3,12,1,0.881743,425,415,9,0,0.881743,425,2,2,1,1,1,57,158,10,4,8,1,9,3,8,2,12,18,5,11,2,57,158,10,4,8,1,9,3,8,2,12,18,5,11,2,true
    0,0,0,0,0,0,0,0,2,1,1,20,0,43,48,0,9,1,0.464789,66,66,9,0,0.464789,66,0,0,2,2,0,76,156,13,2,13,2,9,5,8,0,9,30,5,8,0,76,156,13,2,13,2,9,5,8,0,9,30,5,8,0,true
    0,0,0,0,0,0,0,0,2,3,3,45,13,22,23,27,44,1,0.568738,302,286,9,0,0.568738,302,1,2,0,0,2,229,535,11,0,9,0,17,0,8,0,29,123,2,17,0,229,535,11,0,9,0,17,0,8,0,29,123,2,17,0,true
    0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,2,4,0.5,0.25,3,3,1,1,0.25,3,1,1,0,0,1,9,14,6,0,0,0,2,0,1,0,6,2,1,2,1,9,14,6,0,0,0,2,0,1,0,6,2,1,2,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0,0,1,2,0,0,0,6,7,0,0,0,0,1,0,0,0,1,2,0,0,0,false
    0,0,0,0,0,0,0,0,1,3,3,23,6,2,4,16,29,0.916667,0.545872,119,112,11,1,0.545872,119,3,4,1,1,1,99,234,21,6,4,1,13,2,11,5,48,42,6,40,16,99,234,21,6,4,1,13,2,11,5,48,42,6,40,16,true
    0,0,0,0,0,0,0,0,3,0,0,6,3,4,4,1,7,0.428571,0.517241,30,30,3,4,0.517241,30,2,2,0,0,1,28,52,3,4,1,1,6,0,6,1,9,8,2,9,1,28,52,3,4,1,1,6,0,6,1,9,8,2,9,1,false
    0,0,0,0,0,0,0,0,1,4,4,34,4,0,0,7,17,0.333333,0.153409,27,17,1,2,0.146739,27,0,0,0,0,0,149,213,7,1,7,1,10,0,2,0,10,97,0,2,0,157,222,9,1,9,1,11,2,2,0,11,99,2,2,0,false
    0,0,0,0,0,0,0,0,2,3,2,15,5,2,2,10,18,0.888889,0.633508,121,120,8,1,0.633508,121,3,3,0,0,1,70,172,18,5,7,1,8,3,8,3,18,33,9,18,7,70,172,18,5,7,1,8,3,8,3,18,33,9,18,7,false
