    @RELATION log4j-1_2final-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,12,4,30,31,0,12,1,0.759615,79,79,13,0,0.759615,79,0,0,2,28,0,25,113,0,4,0,4,12,0,12,3,12,0,0,12,3,25,113,0,4,0,4,12,0,12,3,12,0,0,12,3,true
    0,0,0,0,0,0,0,0,2,2,2,27,8,32,12,6,23,1,0.511416,112,108,17,0,0.511416,112,1,2,20,27,2,107,249,7,6,7,6,17,0,16,4,19,34,0,18,4,107,249,7,6,7,6,17,0,16,4,19,34,0,18,4,true
    0,0,0,0,0,0,0,0,2,3,3,22,8,2,1,21,36,0.5,0.396985,79,66,8,8,0.396985,79,2,4,0,0,2,120,202,13,10,6,4,15,1,15,2,31,47,1,30,6,120,202,13,10,6,4,15,1,15,2,31,47,1,30,6,true
    0,0,0,0,0,0,0,0,3,0,0,4,6,10,10,5,9,1,0.511111,23,23,4,0,0.511111,23,0,0,0,0,0,22,40,0,0,0,0,4,0,3,0,4,5,0,3,0,22,40,0,0,0,0,4,0,3,0,4,5,0,3,0,true
    0,0,0,0,0,0,0,0,3,3,3,115,10,106,259,22,75,1,0.590909,546,534,49,0,0.590909,546,1,1,1,5,1,378,973,9,18,9,18,53,0,48,5,53,166,0,48,5,378,973,9,18,9,18,53,0,48,5,53,166,0,48,5,true
    0,0,0,0,0,0,0,0,1,1,1,6,0,1,3,0,3,0.333333,0.148148,4,4,1,2,0.148148,4,0,0,0,0,0,23,28,2,0,2,0,3,0,2,0,3,8,0,2,0,23,28,2,0,2,0,3,0,2,0,3,8,0,2,0,true
    0,0,0,0,0,0,0,0,2,2,1,13,4,11,11,3,11,0.571429,0.32,24,24,4,3,0.32,24,3,4,0,0,1,51,80,13,9,3,1,8,2,6,1,44,19,2,34,9,51,80,13,9,3,1,8,2,6,1,44,19,2,34,9,true
    0.15087,1,8,2,0.104072,0.167883,23,23,1,3,3,28,8,3,2,14,23,0.833333,0.532423,156,148,5,1,0.532423,156,4,5,0,0,1,137,221,29,13,15,1,9,0,5,1,62,69,0,47,15,137,221,29,13,15,1,9,0,5,1,62,69,0,47,15,true
    0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,3,0,0,0,0,0,2,0,0,1,1,0,0,1,8,10,0,0,0,0,2,0,1,0,2,1,0,1,0,8,10,0,0,0,0,2,0,1,0,2,1,0,1,0,true
    0,0,0,0,0,0,0,0,1,3,3,11,5,1,2,5,8,1,0.363636,28,13,2,0,0.363636,28,0,0,0,0,0,49,83,4,0,4,0,3,0,1,0,3,25,0,1,0,49,83,4,0,4,0,3,0,1,0,3,25,0,1,0,true
