    @RELATION lucene-2.4-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0.76,19,18,2,0,0.76,19,0,0,0,0,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,0,0,5,1,155,71,0,5,1,0.679245,36,36,4,0,0.679245,36,0,0,48,48,0,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,true
    0,0,0,0,0,0,0,0,1,1,1,8,3,7,15,3,7,0.25,0.302326,13,10,1,3,0.302326,13,2,2,0,0,1,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,true
    0,0,0,0,0,0,0,0,2,3,3,59,1,6,9,1,20,0.615385,0.183486,40,38,8,5,0.180723,45,0,0,0,0,0,178,220,4,4,4,4,19,0,12,0,19,127,0,12,0,204,254,6,4,6,4,25,0,16,0,25,138,0,16,0,true
    0,0,0,0,0,0,0,0,1,4,4,14,2,4,6,8,13,0.25,0.205882,14,8,1,3,0.205882,14,2,2,3,4,1,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,true
    0.676385,9,232,28,0.628319,0.720812,142,142,1,3,3,84,3,2,2,5,8,0.5,0.366559,114,26,2,2,0.366559,114,2,2,0,0,1,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,false
    0,0,0,0,0,0,0,0,2,1,1,3,4,4,0,4,6,0.333333,0.2,4,4,1,2,0.2,4,1,1,0,0,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,true
    0,0,0,0,0,0,0,0,1,3,3,8,2,1,2,6,10,0.2,0.0810811,3,3,1,4,0.0810811,3,2,2,0,0,1,34,40,3,0,2,0,4,0,4,0,12,21,0,10,0,34,40,3,0,2,0,4,0,4,0,12,21,0,10,0,true
    0,0,0,0,0,0,0,0,1,2,2,5,3,1,1,3,5,1,0.421053,16,13,3,0,0.421053,16,2,2,0,0,1,22,35,3,0,2,0,2,0,2,0,9,11,0,8,0,22,35,3,0,2,0,2,0,2,0,9,11,0,8,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,1,3,1,0.529412,9,9,2,0,0.529412,9,3,3,1,1,1,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,false
    0,0,0,0,0,0,0,0,1,2,2,4,3,11,12,4,6,0.333333,0.227273,5,5,1,2,0.227273,5,2,2,0,0,1,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,17,20,1,0,0,0,2,0,2,0,9,12,0,8,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,1,9,11,1,3,1,0.619048,13,13,2,0,0.619048,13,4,4,0,0,1,8,12,7,0,0,0,2,0,1,0,16,2,0,11,0,8,12,7,0,0,0,2,0,1,0,16,2,0,11,0,true
    0,0,0,0,0,0,0,0,1,1,1,9,2,2,2,3,9,0.571429,0.507692,33,33,4,3,0.507692,33,1,1,0,0,1,32,54,3,3,2,1,6,0,6,0,10,15,0,8,1,32,54,3,3,2,1,6,0,6,0,10,15,0,8,1,true
    0,0,0,0,0,0,0,0,1,1,1,4,4,1,1,9,11,0.333333,0.529412,18,18,1,2,0.529412,18,2,2,0,0,1,16,19,2,0,1,0,2,0,2,0,9,9,0,8,0,16,19,2,0,1,0,2,0,2,0,9,9,0,8,0,false
    0.0533333,1,20,2,0.0492813,0.0720721,24,24,1,7,5,176,0,1,2,0,27,0.857143,0.258278,117,108,12,2,0.258278,117,0,0,0,0,0,336,487,8,2,8,2,27,0,13,0,27,326,0,13,0,336,487,8,2,8,2,27,0,13,0,27,326,0,13,0,false
    0,0,0,0,0,0,0,0,2,1,1,3,4,45,0,4,6,0.333333,0.0666667,1,1,1,2,0.0666667,1,1,1,0,0,1,14,15,1,2,0,0,2,0,2,0,6,7,0,4,1,14,15,1,2,0,0,2,0,2,0,6,7,0,4,1,true
    0,0,0,0,0,0,0,0,1,1,1,12,2,13,22,2,10,0.555556,0.531646,42,33,5,4,0.531646,42,2,2,7,7,1,37,76,3,1,2,1,8,0,8,0,16,19,0,14,0,37,76,3,1,2,1,8,0,8,0,16,19,0,14,0,false
    0,0,0,0,0,0,0,0,1,1,1,8,7,10,10,8,15,0.875,0.259259,14,14,7,1,0.258621,15,1,1,0,0,1,40,62,3,2,2,0,7,1,7,0,11,14,1,9,1,43,65,5,2,4,0,7,1,7,0,11,14,1,9,1,true
    0,0,0,0,0,0,0,0,1,3,3,15,4,22,55,8,19,1,0.555556,75,73,12,0,0.555556,75,2,2,0,0,1,60,146,4,2,3,2,11,0,11,2,18,28,0,17,2,60,146,4,2,3,2,11,0,11,2,18,28,0,17,2,true
    0,0,0,0,0,0,0,0,1,0,0,2,4,4,6,3,5,0.333333,0.723404,34,34,1,2,0.723404,34,2,2,0,0,1,13,16,2,0,1,0,2,0,2,0,9,6,0,8,0,13,16,2,0,1,0,2,0,2,0,9,6,0,8,0,false
    0,0,0,0,0,0,0,0,1,4,4,89,2,180,234,4,53,0.913043,0.521401,402,387,42,4,0.521401,402,0,0,0,0,0,369,742,11,3,11,3,49,1,45,11,49,233,1,45,11,369,742,11,3,11,3,49,1,45,11,49,233,1,45,11,true
    0,0,0,0,0,0,0,0,1,0,0,3,1,56,50,2,5,1,0.458333,11,11,3,0,0.458333,11,1,1,48,50,1,13,20,1,0,1,0,3,0,2,0,7,4,0,6,0,13,20,1,0,1,0,3,0,2,0,7,4,0,6,0,true
    0,0,0,0,0,0,0,0,3,2,2,6,2,197,123,4,8,1,0.7625,61,60,5,0,0.7625,61,0,0,26,98,0,19,72,0,0,0,0,4,0,4,0,4,9,0,4,0,19,72,0,0,0,0,4,0,4,0,4,9,0,4,0,true
    0,0,0,0,0,0,0,0,1,0,0,4,1,15,18,0,4,1,0.580645,18,18,3,0,0.580645,18,1,1,9,20,1,13,24,1,0,1,0,4,0,2,0,8,3,0,6,0,13,24,1,0,1,0,4,0,2,0,8,3,0,6,0,true
    0,0,0,0,0,0,0,0,2,1,1,3,4,75,1,4,6,0.333333,0.0666667,1,1,1,2,0.0666667,1,1,1,0,0,1,14,15,1,2,0,0,2,0,2,0,6,7,0,4,1,14,15,1,2,0,0,2,0,2,0,6,7,0,4,1,true
    0,0,0,0,0,0,0,0,1,0,0,2,1,25,33,1,3,1,0.384615,5,5,2,0,0.384615,5,3,3,0,0,1,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,8,12,7,0,0,0,2,0,1,0,14,2,0,10,0,true
    0,0,0,0,0,0,0,0,0,2,2,11,0,8,15,0,3,1,0.359551,32,32,4,0,0.359551,32,0,0,0,0,0,57,87,0,3,0,3,3,0,3,0,3,37,0,3,0,57,87,0,3,0,3,3,0,3,0,3,37,0,3,0,true
    0,0,0,0,0,0,0,0,1,1,1,19,8,52,104,13,31,0.947368,0.55122,113,113,18,1,0.54067,113,1,1,0,0,1,92,228,7,4,6,2,18,2,18,3,22,39,2,20,4,96,232,9,4,8,2,18,2,18,3,22,39,2,20,4,true
    0,0,0,0,0,0,0,0,1,4,3,11,3,10,11,6,8,1,0.225,9,6,3,0,0.225,9,2,2,0,0,1,31,45,3,0,2,0,2,0,2,0,9,20,0,8,0,31,45,3,0,2,0,2,0,2,0,9,20,0,8,0,false
    0,0,0,0,0,0,0,0,1,4,4,15,4,18,17,15,25,0.9,0.46988,78,72,9,1,0.46988,78,2,2,0,0,1,88,168,15,1,14,1,10,11,9,3,18,35,11,15,3,88,168,15,1,14,1,10,11,9,3,18,35,11,15,3,true
    0.492051,9,50,12,0.304154,0.41784,205,178,6,5,4,70,1,1,4,1,25,0.909091,0.288815,173,151,10,1,0.288815,173,0,0,0,0,0,426,674,41,2,41,2,24,12,10,0,24,172,12,10,0,426,674,41,2,41,2,24,12,10,0,24,172,12,10,0,false
    0.320285,3,35,7,0.169811,0.276923,54,54,1,5,2,62,5,15,25,0,24,0.909091,0.346405,106,105,20,2,0.346405,106,1,1,3,3,1,200,318,16,7,16,7,24,0,21,4,28,125,0,25,4,200,318,16,7,16,7,24,0,21,4,28,125,0,25,4,true
    0,0,0,0,0,0,0,0,2,2,2,12,0,2,5,0,7,0.714286,0.458333,33,32,5,2,0.458333,33,0,0,0,0,0,39,63,1,0,1,0,7,0,6,0,7,22,0,6,0,39,63,1,0,1,0,7,0,6,0,7,22,0,6,0,true
    0,0,0,0,0,0,0,0,1,7,1,28,1,13,19,0,7,1,0.359813,77,72,7,0,0.334764,78,0,0,0,0,0,137,220,8,0,8,0,7,0,6,0,7,85,0,6,0,155,244,16,0,16,0,10,7,7,0,10,87,7,7,0,true
    0.194595,1,8,2,0.0955631,0.170213,28,24,1,2,2,47,3,217,378,5,22,1,0.496241,132,132,18,0,0.483516,132,0,0,0,0,0,134,286,6,9,6,9,17,0,17,1,17,95,0,17,1,141,293,7,9,7,9,19,0,19,1,19,97,0,19,1,false
    0.168498,1,6,2,0.0859729,0.154696,38,28,1,5,1,48,6,159,261,2,19,1,0.477663,139,135,18,0,0.528351,205,2,2,0,0,2,152,329,16,7,0,0,17,0,17,5,41,111,0,38,9,183,442,34,7,16,0,20,16,17,5,59,114,16,41,9,true
    0,0,0,0,0,0,0,0,0,0,0,1,1,29,2,0,1,1,0.896552,26,26,2,0,0.896552,26,0,0,8,8,0,3,10,0,0,0,0,1,0,1,0,1,0,0,1,0,3,10,0,0,0,0,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,1,1,1,7,0,11,1,0,3,0.333333,0.7125,57,57,1,2,0.7125,57,0,0,0,0,0,23,72,8,0,8,0,3,7,2,0,3,10,7,2,0,23,72,8,0,8,0,3,7,2,0,3,10,7,2,0,true
    0,0,0,0,0,0,0,0,0,0,0,24,1,39,37,0,24,1,0.831169,128,128,25,0,0.831169,128,0,0,3,4,0,26,167,0,7,0,7,24,0,24,3,24,0,0,24,3,26,167,0,7,0,7,24,0,24,3,24,0,0,24,3,true
    0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0.5,0.8,20,20,1,1,0.8,20,1,1,0,0,1,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,5,6,0,0,0,0,1,0,1,0,1,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,1,1,7,2,2,2,0,4,1,0.459459,17,17,5,0,0.459459,17,1,1,0,0,1,20,39,1,0,1,0,4,0,4,0,4,13,0,4,0,20,39,1,0,1,0,4,0,4,0,4,13,0,4,0,false
    0,0,0,0,0,0,0,0,1,2,1,10,0,1,3,0,2,1,0.53271,57,55,3,0,0.53271,57,0,0,0,0,0,50,93,6,0,6,0,2,3,2,0,2,26,3,2,0,50,93,6,0,6,0,2,3,2,0,2,26,3,2,0,true
    0,0,0,0,0,0,0,0,1,1,1,4,2,4,6,0,2,1,0.647059,33,33,3,0,0.647059,33,1,1,0,0,1,18,37,2,0,2,0,2,0,2,1,2,8,0,2,1,18,37,2,0,2,0,2,0,2,1,2,8,0,2,1,false
    0,0,0,0,0,0,0,0,1,2,2,15,5,1,5,3,7,1,0.142857,12,9,1,0,0.182692,19,0,0,0,0,0,72,92,4,0,4,0,4,0,0,0,4,45,0,0,0,85,114,5,1,5,1,7,0,0,1,7,49,0,0,1,true
    0.175743,1,2,1,0.110092,0.15493,12,11,1,2,2,11,2,7,8,2,7,0,0.22093,19,5,0,6,0.211111,19,0,0,0,0,0,67,105,10,0,10,0,5,4,5,0,5,45,4,5,0,71,109,10,1,10,1,7,4,5,0,7,45,4,5,0,false
    0,0,0,0,0,0,0,0,4,2,2,17,4,6,4,1,11,0.0909091,0.12,12,5,1,10,0.12,12,1,1,0,0,1,88,114,11,1,8,1,10,3,10,0,21,57,3,20,1,88,114,11,1,8,1,10,3,10,0,21,57,3,20,1,false
    0,0,0,0,0,0,0,0,1,2,2,10,2,1,1,1,7,0.428571,0.346667,26,25,3,4,0.346667,26,0,0,0,0,0,49,63,4,1,4,1,6,0,6,0,6,27,0,6,0,49,63,4,1,4,1,6,0,6,0,6,27,0,6,0,false
    0,0,0,0,0,0,0,0,1,1,1,4,1,4,3,2,5,0.25,0.408163,20,16,1,3,0.408163,20,0,0,0,0,0,29,36,7,0,7,0,3,4,3,0,3,13,4,3,0,29,36,7,0,7,0,3,4,3,0,3,13,4,3,0,false
    0,0,0,0,0,0,0,0,1,7,6,86,18,2,2,42,53,1,0.193814,94,89,9,0,0.255537,150,0,0,0,0,0,391,536,4,0,4,0,11,1,8,1,11,303,1,8,1,437,663,50,0,34,0,14,28,9,1,27,307,28,17,1,true
    0,0,0,0,0,0,0,0,5,3,3,26,7,5,13,9,25,0.588235,0.2,27,23,10,7,0.221649,43,1,1,0,0,1,108,167,7,4,5,2,16,0,16,0,25,52,0,24,1,151,231,21,6,10,2,23,0,19,0,56,69,1,47,3,false
    0,0,0,0,0,0,0,0,1,3,3,24,6,4,7,16,23,1,0.373684,71,48,6,0,0.373737,74,0,0,0,0,0,119,195,6,2,6,2,7,0,5,0,7,80,0,5,0,124,205,9,2,9,2,7,0,5,0,7,80,0,5,0,false
    0,0,0,0,0,0,0,0,2,3,3,41,8,15,29,10,30,0.5,0.255924,54,30,6,6,0.229682,65,1,1,1,1,1,157,246,11,3,11,3,20,0,11,4,20,96,0,9,4,218,334,14,4,14,4,26,0,17,6,26,128,0,15,6,true
