    @RELATION poi-1.5-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,3,3,8,0,0,0,0,2,0,0.0555556,4,0,0,2,0.0555556,4,0,0,0,0,0,68,78,0,0,0,0,2,0,1,0,2,37,0,1,0,68,78,0,0,0,0,2,0,1,0,2,37,0,1,0,true
    0,0,0,0,0,0,0,0,0,1,1,21,4,1,1,5,21,1,0.50625,81,81,17,0,0.50625,81,2,2,0,0,1,79,197,9,32,0,15,16,0,16,0,46,26,0,42,0,79,197,9,32,0,15,16,0,16,0,46,26,0,42,0,true
    0,0,0,0,0,0,0,0,0,0,0,5,0,4,12,0,5,1,0.518519,28,28,6,0,0.518519,28,0,0,3,3,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,true
    0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,5,1,0.518519,28,28,6,0,0.518519,28,0,0,1,1,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,26,62,1,1,1,1,5,0,5,0,5,7,0,5,0,true
    0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,4,8,0.2,0.296296,8,8,1,4,0.296296,8,1,1,0,0,1,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,true
    0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,4,8,0.2,0.375,12,12,1,4,0.375,12,1,1,0,0,1,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,true
    0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,4,8,0.2,0.40625,13,13,1,4,0.40625,13,1,1,0,0,1,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,19,24,1,1,0,0,4,0,4,0,9,4,0,9,0,true
    0,0,0,0,0,0,0,0,2,2,2,15,3,3,3,3,9,1,0.505435,93,70,5,0,0.505435,93,0,0,0,0,0,91,184,3,3,3,3,6,0,4,0,6,51,0,4,0,91,184,3,3,3,3,6,0,4,0,6,51,0,4,0,true
    0,0,0,0,0,0,0,0,1,1,1,28,11,6,45,15,35,1,0.59542,234,213,17,0,0.59542,234,0,0,1,3,0,159,428,8,10,8,10,20,0,16,0,20,68,0,16,0,159,428,8,10,8,10,20,0,16,0,20,68,0,16,0,true
    0,0,0,0,0,0,0,0,1,2,1,3,6,1,1,5,6,1,0.545455,18,18,2,0,0.545455,18,0,0,0,0,0,15,27,0,0,0,0,1,0,1,0,1,6,0,1,0,15,27,0,0,0,0,1,0,1,0,1,6,0,1,0,true
    0,0,0,0,0,0,0,0,1,2,2,18,5,3,8,8,18,1,0.464286,78,67,9,0,0.464286,78,0,0,0,0,0,90,207,7,8,7,8,10,0,8,0,10,48,0,8,0,90,207,7,8,7,8,10,0,8,0,10,48,0,8,0,true
    0,0,0,0,0,0,0,0,1,0,0,10,5,2,2,10,20,0.0909091,0.405405,30,30,1,10,0.405405,30,1,1,2,2,1,44,76,9,17,1,7,10,0,10,0,30,10,0,26,0,44,76,9,17,1,7,10,0,10,0,30,10,0,26,0,true
    0,0,0,0,0,0,0,0,0,1,1,21,4,2,2,5,24,1,0.5,85,85,20,0,0.5,85,2,2,0,0,1,85,216,9,35,0,18,19,0,19,0,49,23,0,45,0,85,216,9,35,0,18,19,0,19,0,49,23,0,45,0,true
    0,0,0,0,0,0,0,0,0,0,0,4,1,4,2,4,8,0.2,0.375,12,12,1,4,0.375,12,1,1,0,0,1,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,20,25,1,1,0,0,4,0,4,0,9,4,0,9,0,true
    0,0,0,0,0,0,0,0,4,2,2,12,0,2,4,0,5,1,0.581818,64,64,6,0,0.581818,64,0,0,0,0,0,46,118,1,0,1,0,5,1,5,0,5,34,1,5,0,46,118,1,0,1,0,5,1,5,0,5,34,1,5,0,true
    0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.785408,183,183,1,0,0.785408,183,0,0,0,0,0,50,267,47,0,47,0,0,47,0,0,0,0,47,0,0,50,267,47,0,47,0,0,47,0,0,0,0,47,0,0,true
    0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,3,0.666667,0.555556,15,15,2,1,0.555556,15,1,1,0,0,1,12,26,2,1,1,0,2,1,2,0,5,2,1,5,0,12,26,2,1,1,0,2,1,2,0,5,2,1,5,0,false
    0,0,0,0,0,0,0,0,2,2,2,6,4,3,3,5,8,0.5,0.338983,20,20,2,2,0.338983,20,1,1,0,0,1,39,56,2,1,1,0,3,1,3,0,6,30,1,6,0,39,56,2,1,1,0,3,1,3,0,6,30,1,6,0,false
    0,0,0,0,0,0,0,0,1,1,1,4,1,5,6,1,4,0.75,0.477273,21,21,3,1,0.477273,21,1,1,0,0,1,23,46,2,1,1,0,3,1,3,0,6,10,1,6,0,23,46,2,1,1,0,3,1,3,0,6,10,1,6,0,false
    0,0,0,0,0,0,0,0,1,1,1,5,0,7,11,0,4,1,0.644068,38,38,5,0,0.644068,38,0,0,4,4,0,21,66,1,1,1,1,4,0,4,0,4,9,0,4,0,21,66,1,1,1,1,4,0,4,0,4,9,0,4,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,1,3,3,1,3,0.666667,0.555556,15,15,2,1,0.555556,15,1,1,0,0,1,12,25,2,1,1,0,2,1,2,0,5,2,1,5,0,12,25,2,1,1,0,2,1,2,0,5,2,1,5,0,false
    0.579545,2,4,4,0.24183,0.345794,37,37,2,1,1,8,0,3,2,0,6,0.714286,0.275168,41,41,5,2,0.275168,41,0,0,0,0,0,108,153,35,2,35,2,6,33,6,0,6,48,33,6,0,108,153,35,2,35,2,6,33,6,0,6,48,33,6,0,true
    0,0,0,0,0,0,0,0,1,2,2,9,1,2,1,3,9,1,0.52381,66,66,7,0,0.52381,66,0,0,0,0,0,60,132,4,2,4,2,6,3,6,0,6,17,3,6,0,60,132,4,2,4,2,6,3,6,0,6,17,3,6,0,true
    0.60662,41,3369,227,0.546457,0.559653,347,258,1,5,5,119,92,0,0,95,104,1,0.124764,66,53,6,0,0.124764,66,0,0,0,0,0,463,635,2,0,2,0,9,0,5,1,9,265,0,5,1,463,635,2,0,2,0,9,0,5,1,9,265,0,5,1,true
    0,0,0,0,0,0,0,0,1,2,2,7,4,0,0,6,10,0.4,0.0943396,5,5,2,3,0.0862069,5,0,0,0,0,0,48,57,1,0,1,0,4,0,4,1,4,17,0,4,1,53,62,1,0,1,0,5,0,5,1,5,18,0,5,1,false
    0,0,0,0,0,0,0,0,1,3,2,18,15,1,1,30,36,0.285714,0.0420168,5,5,2,5,0.0420168,5,0,0,0,0,0,114,139,4,0,4,0,6,0,6,2,6,54,0,6,2,114,139,4,0,4,0,6,0,6,2,6,54,0,6,2,false
    0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,3,0,0,0,0,0,3,0,0,1,1,0,0,1,13,15,1,0,1,0,2,0,2,0,2,2,0,2,0,13,15,1,0,1,0,2,0,2,0,2,2,0,2,0,false
