    @RELATION synapse-1.0-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0.554795,81,81,1,0,0.554795,81,0,0,2,2,0,65,188,62,0,62,0,0,62,0,0,0,0,62,0,0,65,188,62,0,62,0,0,62,0,0,0,0,62,0,0,false
    0,0,0,0,0,0,0,0,1,2,2,12,3,16,12,3,7,0.5,0.265306,13,12,2,2,0.265306,13,0,0,3,3,0,36,53,0,1,0,1,4,0,3,0,4,19,0,3,0,36,53,0,1,0,1,4,0,3,0,4,19,0,3,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,72,34,0,4,1,0.8125,26,26,5,0,0.8125,26,0,0,3,32,0,6,31,0,2,0,2,4,0,4,1,4,0,0,4,1,6,31,0,2,0,2,4,0,4,1,4,0,0,4,1,false
    0,0,0,0,0,0,0,0,0,0,0,47,5,94,151,0,47,0.958333,0.791489,186,186,46,2,0.791489,186,0,0,4,4,0,49,276,0,21,0,21,47,0,47,19,47,0,0,47,19,49,276,0,21,0,21,47,0,47,19,47,0,0,47,19,false
    0,0,0,0,0,0,0,0,0,0,0,3,0,102,132,0,3,0.25,0.2,3,3,1,3,0.2,3,0,0,0,0,0,12,17,1,0,1,0,3,0,3,0,3,3,0,3,0,12,17,1,0,1,0,3,0,3,0,3,3,0,3,0,false
    0,0,0,0,0,0,0,0,1,5,5,17,0,0,0,0,3,0.333333,0.0898876,8,3,1,2,0.0898876,8,0,0,0,0,0,81,103,1,0,1,0,3,0,2,0,3,48,0,2,0,81,103,1,0,1,0,3,0,2,0,3,48,0,2,0,true
    0,0,0,0,0,0,0,0,2,1,1,27,2,22,33,1,25,0.166667,0.213675,25,25,4,20,0.213675,25,0,0,0,0,0,92,139,12,7,12,7,24,4,23,7,24,28,4,23,7,92,139,12,7,12,7,24,4,23,7,24,28,4,23,7,false
    0.363208,2,16,4,0.184143,0.318841,72,66,1,4,4,65,11,23,45,18,47,1,0.413598,146,145,29,0,0.413598,146,0,0,0,0,0,207,391,6,15,6,15,29,0,28,3,29,108,0,28,3,207,391,6,15,6,15,29,0,28,3,29,108,0,28,3,false
    0,0,0,0,0,0,0,0,1,1,1,5,7,2,2,5,8,1,0.357143,15,13,3,0,0.357143,15,1,1,0,0,1,27,45,63,2,1,2,3,0,2,0,3,15,62,2,0,27,45,63,2,1,2,3,0,2,0,3,15,62,2,0,false
    0,0,0,0,0,0,0,0,1,4,3,21,2,8,8,3,10,0.666667,0.219697,29,26,4,2,0.219697,29,0,0,0,0,0,103,151,1,5,1,5,7,0,5,0,7,61,0,5,0,103,151,1,5,1,5,7,0,5,0,7,61,0,5,0,false
