    @RELATION xalan-2.7-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.272727,1,3,1,0.0916667,0.232558,11,10,1,2,2,11,0,1,1,0,8,1,0.628099,76,76,9,0,0.628099,76,0,0,0,0,0,45,120,0,7,0,7,8,0,8,0,8,12,0,8,0,45,120,0,7,0,7,8,0,8,0,8,12,0,8,0,true
    0.1189,2,8,4,0.0737135,0.130081,53,48,2,7,4,48,3,1,1,1,25,1,0.43696,253,226,22,0,0.419753,272,0,0,0,0,0,326,655,21,8,21,8,24,0,21,4,24,150,0,21,4,376,719,23,8,23,8,25,2,22,4,25,167,2,22,4,true
    0,0,0,0,0,0,0,0,0,0,0,7,3,16,11,0,7,1,0.789474,45,45,8,0,0.789474,45,0,0,1,1,0,12,61,0,5,0,5,7,0,7,0,7,0,0,7,0,12,61,0,5,0,5,7,0,7,0,7,0,0,7,0,true
    0,0,0,0,0,0,0,0,1,3,2,5,9,1,2,5,7,1,0.46,23,23,3,0,0.46,23,1,1,0,0,1,27,43,1,0,1,0,2,0,2,0,14,11,0,14,0,27,43,1,0,1,0,2,0,2,0,14,11,0,14,0,true
    0,0,0,0,0,0,0,0,0,1,1,8,6,11,17,2,9,1,0.714286,75,74,6,0,0.714286,75,0,0,3,5,0,30,106,2,1,2,1,7,0,5,0,7,5,0,5,0,30,106,2,1,2,1,7,0,5,0,7,5,0,5,0,true
    0,0,0,0,0,0,0,0,3,3,3,28,18,0,0,18,26,1,0.343023,59,56,8,0,0.343023,59,1,1,0,0,1,113,181,5,2,3,1,8,0,7,0,10,50,0,7,0,113,181,5,2,3,1,8,0,7,0,10,50,0,7,0,true
    0.110363,1,6,2,0.0701754,0.1,24,20,1,4,4,31,19,0,0,16,22,1,0.327815,99,82,7,0,0.327815,99,1,1,0,0,1,203,342,12,1,10,0,6,0,6,0,8,86,0,6,0,203,342,12,1,10,0,6,0,6,0,8,86,0,6,0,true
    0,0,0,0,0,0,0,0,1,0,0,3,1,2,6,1,4,1,0.686567,46,44,3,0,0.686567,46,1,1,2,2,1,21,69,4,2,2,1,3,0,2,0,10,4,0,7,0,21,69,4,2,2,1,3,0,2,0,10,4,0,7,0,true
    0.429119,7,29,9,0.290984,0.399417,142,137,1,7,7,72,14,1,1,23,29,1,0.244635,114,103,7,0,0.244635,114,2,2,0,0,1,352,488,6,2,2,0,6,0,6,0,11,172,0,8,0,352,488,6,2,2,0,6,0,6,0,11,172,0,8,0,true
    0.328582,6,27,7,0.23431,0.30117,112,103,1,5,5,68,16,0,0,23,29,1,0.261803,122,108,7,0,0.261803,122,2,2,0,0,1,344,478,4,2,0,0,6,0,6,0,11,179,0,8,0,344,478,4,2,0,0,6,0,6,0,11,179,0,8,0,true
